# Vedic Extensions 1CD0 - 1CFF
1CD0	vdcx-vedictonekarshana	VEDIC TONE KARSHANA
1CD1	vdcx-vedictoneshara	VEDIC TONE SHARA
1CD2	vdcx-vedictoneprenkha	VEDIC TONE PRENKHA
1CD3	vdcx-vedicsignnihshvasa	VEDIC SIGN NIHSHVASA
1CD4	vdcx-vedicsignyajurvedicmidlinesvarita	VEDIC SIGN YAJURVEDIC MIDLINE SVARITA
1CD5	vdcx-vedictoneyajurvedicaggravatedindependentsvarita	VEDIC TONE YAJURVEDIC AGGRAVATED INDEPENDENT SVARITA
1CD6	vdcx-vedictoneyajurvedicindependentsvarita	VEDIC TONE YAJURVEDIC INDEPENDENT SVARITA
1CD7	vdcx-vedictoneyajurvedickathakaindependentsvarita	VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA
1CD8	vdcx-vedictonecandrabelow	VEDIC TONE CANDRA BELOW
1CD9	vdcx-vedictoneyajurvedickathakaindependentsvaritaschroeder	VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA SCHROEDER
1CDA	vdcx-vedictonedoublesvarita	VEDIC TONE DOUBLE SVARITA
1CDB	vdcx-vedictonetriplesvarita	VEDIC TONE TRIPLE SVARITA
1CDC	vdcx-vedictonekathakaanudatta	VEDIC TONE KATHAKA ANUDATTA
1CDD	vdcx-vedictonedotbelow	VEDIC TONE DOT BELOW
1CDE	vdcx-vedictonetwodotsbelow	VEDIC TONE TWO DOTS BELOW
1CDF	vdcx-vedictonethreedotsbelow	VEDIC TONE THREE DOTS BELOW
1CE0	vdcx-vedictonerigvedickashmiriindependentsvarita	VEDIC TONE RIGVEDIC KASHMIRI INDEPENDENT SVARITA
1CE1	vdcx-vedictoneatharvavedicindependentsvarita	VEDIC TONE ATHARVAVEDIC INDEPENDENT SVARITA
1CE2	vdcx-vedicsignvisargasvarita	VEDIC SIGN VISARGA SVARITA
1CE3	vdcx-vedicsignvisargaudatta	VEDIC SIGN VISARGA UDATTA
1CE4	vdcx-vedicsignreversedvisargaudatta	VEDIC SIGN REVERSED VISARGA UDATTA
1CE5	vdcx-vedicsignvisargaanudatta	VEDIC SIGN VISARGA ANUDATTA
1CE6	vdcx-vedicsignreversedvisargaanudatta	VEDIC SIGN REVERSED VISARGA ANUDATTA
1CE7	vdcx-vedicsignvisargaudattawithtail	VEDIC SIGN VISARGA UDATTA WITH TAIL
1CE8	vdcx-vedicsignvisargaanudattawithtail	VEDIC SIGN VISARGA ANUDATTA WITH TAIL
1CE9	vdcx-vedicsignanusvaraantargomukha	VEDIC SIGN ANUSVARA ANTARGOMUKHA
1CEA	vdcx-vedicsignanusvarabahirgomukha	VEDIC SIGN ANUSVARA BAHIRGOMUKHA
1CEB	vdcx-vedicsignanusvaravamagomukha	VEDIC SIGN ANUSVARA VAMAGOMUKHA
1CEC	vdcx-vedicsignanusvaravamagomukhawithtail	VEDIC SIGN ANUSVARA VAMAGOMUKHA WITH TAIL
1CED	vdcx-vedicsigntiryak	VEDIC SIGN TIRYAK
1CEE	vdcx-vedicsignhexiformlonganusvara	VEDIC SIGN HEXIFORM LONG ANUSVARA
1CEF	vdcx-vedicsignlonganusvara	VEDIC SIGN LONG ANUSVARA
1CF0	vdcx-vedicsignrthanglonganusvara	VEDIC SIGN RTHANG LONG ANUSVARA
1CF1	vdcx-vedicsignanusvaraubhayatomukha	VEDIC SIGN ANUSVARA UBHAYATO MUKHA
1CF2	vdcx-vedicsignardhavisarga	VEDIC SIGN ARDHAVISARGA
