# Yi Radicals A490 - A4CF
A490	yrdc-yiradicalqot	YI RADICAL QOT
A491	yrdc-yiradicalli	YI RADICAL LI
A492	yrdc-yiradicalkit	YI RADICAL KIT
A493	yrdc-yiradicalnyip	YI RADICAL NYIP
A494	yrdc-yiradicalcyp	YI RADICAL CYP
A495	yrdc-yiradicalssi	YI RADICAL SSI
A496	yrdc-yiradicalggop	YI RADICAL GGOP
A497	yrdc-yiradicalgep	YI RADICAL GEP
A498	yrdc-yiradicalmi	YI RADICAL MI
A499	yrdc-yiradicalhxit	YI RADICAL HXIT
A49A	yrdc-yiradicallyr	YI RADICAL LYR
A49B	yrdc-yiradicalbbut	YI RADICAL BBUT
A49C	yrdc-yiradicalmop	YI RADICAL MOP
A49D	yrdc-yiradicalyo	YI RADICAL YO
A49E	yrdc-yiradicalput	YI RADICAL PUT
A49F	yrdc-yiradicalhxuo	YI RADICAL HXUO
A4A0	yrdc-yiradicaltat	YI RADICAL TAT
A4A1	yrdc-yiradicalga	YI RADICAL GA
A4A2	yrdc-yiradicalzup	YI RADICAL ZUP
A4A3	yrdc-yiradicalcyt	YI RADICAL CYT
A4A4	yrdc-yiradicalddur	YI RADICAL DDUR
A4A5	yrdc-yiradicalbur	YI RADICAL BUR
A4A6	yrdc-yiradicalgguo	YI RADICAL GGUO
A4A7	yrdc-yiradicalnyop	YI RADICAL NYOP
A4A8	yrdc-yiradicaltu	YI RADICAL TU
A4A9	yrdc-yiradicalop	YI RADICAL OP
A4AA	yrdc-yiradicaljjut	YI RADICAL JJUT
A4AB	yrdc-yiradicalzot	YI RADICAL ZOT
A4AC	yrdc-yiradicalpyt	YI RADICAL PYT
A4AD	yrdc-yiradicalhmo	YI RADICAL HMO
A4AE	yrdc-yiradicalyit	YI RADICAL YIT
A4AF	yrdc-yiradicalvur	YI RADICAL VUR
A4B0	yrdc-yiradicalshy	YI RADICAL SHY
A4B1	yrdc-yiradicalvep	YI RADICAL VEP
A4B2	yrdc-yiradicalza	YI RADICAL ZA
A4B3	yrdc-yiradicaljo	YI RADICAL JO
A4B4	yrdc-yiradicalnzup	YI RADICAL NZUP
A4B5	yrdc-yiradicaljjy	YI RADICAL JJY
A4B6	yrdc-yiradicalgot	YI RADICAL GOT
A4B7	yrdc-yiradicaljjie	YI RADICAL JJIE
A4B8	yrdc-yiradicalwo	YI RADICAL WO
A4B9	yrdc-yiradicaldu	YI RADICAL DU
A4BA	yrdc-yiradicalshur	YI RADICAL SHUR
A4BB	yrdc-yiradicallie	YI RADICAL LIE
A4BC	yrdc-yiradicalcy	YI RADICAL CY
A4BD	yrdc-yiradicalcuop	YI RADICAL CUOP
A4BE	yrdc-yiradicalcip	YI RADICAL CIP
A4BF	yrdc-yiradicalhxop	YI RADICAL HXOP
A4C0	yrdc-yiradicalshat	YI RADICAL SHAT
A4C1	yrdc-yiradicalzur	YI RADICAL ZUR
A4C2	yrdc-yiradicalshop	YI RADICAL SHOP
A4C3	yrdc-yiradicalche	YI RADICAL CHE
A4C4	yrdc-yiradicalzziet	YI RADICAL ZZIET
A4C5	yrdc-yiradicalnbie	YI RADICAL NBIE
A4C6	yrdc-yiradicalke	YI RADICAL KE
