# Yi Syllables A000 - A48F
A000	ysyl-yisyllableit	YI SYLLABLE IT
A001	ysyl-yisyllableix	YI SYLLABLE IX
A002	ysyl-yisyllablei	YI SYLLABLE I
A003	ysyl-yisyllableip	YI SYLLABLE IP
A004	ysyl-yisyllableiet	YI SYLLABLE IET
A005	ysyl-yisyllableiex	YI SYLLABLE IEX
A006	ysyl-yisyllableie	YI SYLLABLE IE
A007	ysyl-yisyllableiep	YI SYLLABLE IEP
A008	ysyl-yisyllableat	YI SYLLABLE AT
A009	ysyl-yisyllableax	YI SYLLABLE AX
A00A	ysyl-yisyllablea	YI SYLLABLE A
A00B	ysyl-yisyllableap	YI SYLLABLE AP
A00C	ysyl-yisyllableuox	YI SYLLABLE UOX
A00D	ysyl-yisyllableuo	YI SYLLABLE UO
A00E	ysyl-yisyllableuop	YI SYLLABLE UOP
A00F	ysyl-yisyllableot	YI SYLLABLE OT
A010	ysyl-yisyllableox	YI SYLLABLE OX
A011	ysyl-yisyllableo	YI SYLLABLE O
A012	ysyl-yisyllableop	YI SYLLABLE OP
A013	ysyl-yisyllableex	YI SYLLABLE EX
A014	ysyl-yisyllablee	YI SYLLABLE E
A015	ysyl-yisyllablewu	YI SYLLABLE WU
A016	ysyl-yisyllablebit	YI SYLLABLE BIT
A017	ysyl-yisyllablebix	YI SYLLABLE BIX
A018	ysyl-yisyllablebi	YI SYLLABLE BI
A019	ysyl-yisyllablebip	YI SYLLABLE BIP
A01A	ysyl-yisyllablebiet	YI SYLLABLE BIET
A01B	ysyl-yisyllablebiex	YI SYLLABLE BIEX
A01C	ysyl-yisyllablebie	YI SYLLABLE BIE
A01D	ysyl-yisyllablebiep	YI SYLLABLE BIEP
A01E	ysyl-yisyllablebat	YI SYLLABLE BAT
A01F	ysyl-yisyllablebax	YI SYLLABLE BAX
A020	ysyl-yisyllableba	YI SYLLABLE BA
A021	ysyl-yisyllablebap	YI SYLLABLE BAP
A022	ysyl-yisyllablebuox	YI SYLLABLE BUOX
A023	ysyl-yisyllablebuo	YI SYLLABLE BUO
A024	ysyl-yisyllablebuop	YI SYLLABLE BUOP
A025	ysyl-yisyllablebot	YI SYLLABLE BOT
A026	ysyl-yisyllablebox	YI SYLLABLE BOX
A027	ysyl-yisyllablebo	YI SYLLABLE BO
A028	ysyl-yisyllablebop	YI SYLLABLE BOP
A029	ysyl-yisyllablebex	YI SYLLABLE BEX
A02A	ysyl-yisyllablebe	YI SYLLABLE BE
A02B	ysyl-yisyllablebep	YI SYLLABLE BEP
A02C	ysyl-yisyllablebut	YI SYLLABLE BUT
A02D	ysyl-yisyllablebux	YI SYLLABLE BUX
A02E	ysyl-yisyllablebu	YI SYLLABLE BU
A02F	ysyl-yisyllablebup	YI SYLLABLE BUP
A030	ysyl-yisyllableburx	YI SYLLABLE BURX
A031	ysyl-yisyllablebur	YI SYLLABLE BUR
A032	ysyl-yisyllablebyt	YI SYLLABLE BYT
A033	ysyl-yisyllablebyx	YI SYLLABLE BYX
A034	ysyl-yisyllableby	YI SYLLABLE BY
A035	ysyl-yisyllablebyp	YI SYLLABLE BYP
A036	ysyl-yisyllablebyrx	YI SYLLABLE BYRX
A037	ysyl-yisyllablebyr	YI SYLLABLE BYR
A038	ysyl-yisyllablepit	YI SYLLABLE PIT
A039	ysyl-yisyllablepix	YI SYLLABLE PIX
A03A	ysyl-yisyllablepi	YI SYLLABLE PI
A03B	ysyl-yisyllablepip	YI SYLLABLE PIP
A03C	ysyl-yisyllablepiex	YI SYLLABLE PIEX
A03D	ysyl-yisyllablepie	YI SYLLABLE PIE
A03E	ysyl-yisyllablepiep	YI SYLLABLE PIEP
A03F	ysyl-yisyllablepat	YI SYLLABLE PAT
A040	ysyl-yisyllablepax	YI SYLLABLE PAX
