# Combining Diacritical Marks Supplement 01DC0 - 01DFF
1DC0	cmb:dottedgrave	COMBINING DOTTED GRAVE ACCENT
1DC1	cmb:dottedacute	COMBINING DOTTED ACUTE ACCENT
1DC2	cmb:snakebelow	COMBINING SNAKE BELOW
1DC3	cmb:suspensionmark	COMBINING SUSPENSION MARK
1DC4	cmb:macronacute	COMBINING MACRON-ACUTE
1DC5	cmb:gravemacron	COMBINING GRAVE-MACRON
1DC6	cmb:macrongrave	COMBINING MACRON-GRAVE
1DC7	cmb:acutemacron	COMBINING ACUTE-MACRON
1DC8	cmb:graveacutegrave	COMBINING GRAVE-ACUTE-GRAVE
1DC9	cmb:acutegraveacute	COMBINING ACUTE-GRAVE-ACUTE
1DCA	cmb:rbelow	COMBINING LATIN SMALL LETTER R BELOW
1DCB	cmb:brevemacron	COMBINING BREVE-MACRON
1DCC	cmb:macronbreve	COMBINING MACRON-BREVE
1DCD	cmb:doubleabovecircumflex	COMBINING DOUBLE CIRCUMFLEX ABOVE
1DCE	cmb:aboveogonek	COMBINING OGONEK ABOVE
1DCF	cmb:zigzagbelow	COMBINING ZIGZAG BELOW
1DD0	cmb:isbelow	COMBINING IS BELOW
1DD1	cmb:urabove	COMBINING UR ABOVE
1DD2	cmb:usabove	COMBINING US ABOVE
1DD3	cmb:aaboveflat	COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE
1DD4	cmb:ae	COMBINING LATIN SMALL LETTER AE
1DD5	cmb:ao	COMBINING LATIN SMALL LETTER AO
1DD6	cmb:av	COMBINING LATIN SMALL LETTER AV
1DD7	cmb:ccedilla	COMBINING LATIN SMALL LETTER C CEDILLA
1DD8	cmb:insulard	COMBINING LATIN SMALL LETTER INSULAR D
1DD9	cmb:eth	COMBINING LATIN SMALL LETTER ETH
1DDA	cmb:g	COMBINING LATIN SMALL LETTER G
1DDB	cmb:gsmall	COMBINING LATIN LETTER SMALL CAPITAL G
1DDC	cmb:k	COMBINING LATIN SMALL LETTER K
1DDD	cmb:l	COMBINING LATIN SMALL LETTER L
1DDE	cmb:lsmall	COMBINING LATIN LETTER SMALL CAPITAL L
1DDF	cmb:msmall	COMBINING LATIN LETTER SMALL CAPITAL M
1DE0	cmb:n	COMBINING LATIN SMALL LETTER N
1DE1	cmb:nsmall	COMBINING LATIN LETTER SMALL CAPITAL N
1DE2	cmb:rsmall	COMBINING LATIN LETTER SMALL CAPITAL R
1DE3	cmb:rrotunda	COMBINING LATIN SMALL LETTER R ROTUNDA
1DE4	cmb:s	COMBINING LATIN SMALL LETTER S
1DE5	cmb:longs	COMBINING LATIN SMALL LETTER LONG S
1DE6	cmb:z	COMBINING LATIN SMALL LETTER Z
1DE7	cmb:alpha	COMBINING LATIN SMALL LETTER ALPHA
1DE8	cmb:b	COMBINING LATIN SMALL LETTER B
1DE9	cmb:beta	COMBINING LATIN SMALL LETTER BETA
1DEA	cmb:schwa	COMBINING LATIN SMALL LETTER SCHWA
1DEB	cmb:f	COMBINING LATIN SMALL LETTER F
1DEC	cmb:lwithdoublemiddletilde	COMBINING LATIN SMALL LETTER L WITH DOUBLE MIDDLE TILDE
1DED	cmb:owithlightcentralizationstroke	COMBINING LATIN SMALL LETTER O WITH LIGHT CENTRALIZATION STROKE
1DEE	cmb:p	COMBINING LATIN SMALL LETTER P
1DEF	cmb:esh	COMBINING LATIN SMALL LETTER ESH
1DF0	cmb:uwithlightcentralizationstroke	COMBINING LATIN SMALL LETTER U WITH LIGHT CENTRALIZATION STROKE
1DF1	cmb:w	COMBINING LATIN SMALL LETTER W
1DF2	cmb:adieresis	COMBINING LATIN SMALL LETTER A WITH DIAERESIS
1DF3	cmb:odieresis	COMBINING LATIN SMALL LETTER O WITH DIAERESIS
1DF4	cmb:udieresis	COMBINING LATIN SMALL LETTER U WITH DIAERESIS
1DF5	cmb:uptackabove	COMBINING UP TACK ABOVE
1DF6	cmb:kavykaaboveright	COMBINING KAVYKA ABOVE RIGHT
1DF7	cmb:kavykaaboveleft	COMBINING KAVYKA ABOVE LEFT
1DF8	cmb:dotaboveleft	COMBINING DOT ABOVE LEFT
1DF9	cmb:wideinvertedbridgebelow	COMBINING WIDE INVERTED BRIDGE BELOW
1DFB	cmb:deletionmark	COMBINING DELETION MARK
1DFC	cmb:doubleinvertedbelowbreve	COMBINING DOUBLE INVERTED BREVE BELOW
1DFD	cmb:almostequaltobelow	COMBINING ALMOST EQUAL TO BELOW
1DFE	cmb:leftarrowheadabove	COMBINING LEFT ARROWHEAD ABOVE
1DFF	cmb:rightarrowheadanddownarrowheadbelow	COMBINING RIGHT ARROWHEAD AND DOWN ARROWHEAD BELOW
