# Alphabetic Presentation Forms FB00 - FB4F
FB00	f_f	LATIN SMALL LIGATURE FF
FB01	lphb-fi	LATIN SMALL LIGATURE FI
FB02	fl	LATIN SMALL LIGATURE FL
FB03	If_f	LATIN SMALL LIGATURE FFI
FB04	Lf_f	LATIN SMALL LIGATURE FFL
FB05	longs_t	LATIN SMALL LIGATURE LONG S T
FB06	s_t	LATIN SMALL LIGATURE ST
FB13	lphb-men_now	ARMENIAN SMALL LIGATURE MEN NOW
FB14	lphb-men_ech	ARMENIAN SMALL LIGATURE MEN ECH
FB15	lphb-men_ini	ARMENIAN SMALL LIGATURE MEN INI
FB16	lphb-vew_now	ARMENIAN SMALL LIGATURE VEW NOW
FB17	lphb-men_xeh	ARMENIAN SMALL LIGATURE MEN XEH
FB1D	lphb-yodwithhiriq	HEBREW LETTER YOD WITH HIRIQ
FB1E	lphb-varikajudeospanish	HEBREW POINT JUDEO-SPANISH VARIKA
FB1F	lphb-yod_yod_patah	HEBREW LIGATURE YIDDISH YOD YOD PATAH
FB20	lphb-ayinalt	HEBREW LETTER ALTERNATIVE AYIN
FB21	lphb-alefwide	HEBREW LETTER WIDE ALEF
FB22	lphb-daletwide	HEBREW LETTER WIDE DALET
FB23	lphb-hewide	HEBREW LETTER WIDE HE
FB24	lphb-kafwide	HEBREW LETTER WIDE KAF
FB25	lphb-lamedwide	HEBREW LETTER WIDE LAMED
FB26	lphb-memwidefinal	HEBREW LETTER WIDE FINAL MEM
FB27	lphb-reshwide	HEBREW LETTER WIDE RESH
FB28	lphb-tavwide	HEBREW LETTER WIDE TAV
FB29	lphb-plussignalt	HEBREW LETTER ALTERNATIVE PLUS SIGN
FB2A	lphb-shinwithshindot	HEBREW LETTER SHIN WITH SHIN DOT
FB2B	lphb-shinwithsindot	HEBREW LETTER SHIN WITH SIN DOT
FB2C	lphb-shinwithdageshandshindot	HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT
FB2D	lphb-shinwithdageshandsindot	HEBREW LETTER SHIN WITH DAGESH AND SIN DOT
FB2E	lphb-alefwithpatah	HEBREW LETTER ALEF WITH PATAH
FB2F	lphb-alefwithqamats	HEBREW LETTER ALEF WITH QAMATS
FB30	lphb-alefwithmapiq	HEBREW LETTER ALEF WITH MAPIQ
FB31	lphb-betwithdagesh	HEBREW LETTER BET WITH DAGESH
FB32	lphb-gimelwithdagesh	HEBREW LETTER GIMEL WITH DAGESH
FB33	lphb-daletwithdagesh	HEBREW LETTER DALET WITH DAGESH
FB34	lphb-hewithmapiq	HEBREW LETTER HE WITH MAPIQ
FB35	lphb-vavwithdagesh	HEBREW LETTER VAV WITH DAGESH
FB36	lphb-zayinwithdagesh	HEBREW LETTER ZAYIN WITH DAGESH
FB38	lphb-tetwithdagesh	HEBREW LETTER TET WITH DAGESH
FB39	lphb-yodwithdagesh	HEBREW LETTER YOD WITH DAGESH
FB3A	lphb-kafwithdageshfinal	HEBREW LETTER FINAL KAF WITH DAGESH
FB3B	lphb-kafwithdagesh	HEBREW LETTER KAF WITH DAGESH
FB3C	lphb-lamedwithdagesh	HEBREW LETTER LAMED WITH DAGESH
FB3E	lphb-memwithdagesh	HEBREW LETTER MEM WITH DAGESH
FB40	lphb-nunwithdagesh	HEBREW LETTER NUN WITH DAGESH
FB41	lphb-samekhwithdagesh	HEBREW LETTER SAMEKH WITH DAGESH
FB43	lphb-pehfinalwithdagesh	HEBREW LETTER FINAL PE WITH DAGESH
FB44	lphb-pehwithdagesh	HEBREW LETTER PE WITH DAGESH
FB46	lphb-tsadiwithdagesh	HEBREW LETTER TSADI WITH DAGESH
FB47	lphb-qofwithdagesh	HEBREW LETTER QOF WITH DAGESH
FB48	lphb-reshwithdagesh	HEBREW LETTER RESH WITH DAGESH
FB49	lphb-shinwithdagesh	HEBREW LETTER SHIN WITH DAGESH
FB4A	lphb-tavwithdagesh	HEBREW LETTER TAV WITH DAGESH
FB4B	lphb-vavwithholam	HEBREW LETTER VAV WITH HOLAM
FB4C	lphb-betwithrafe	HEBREW LETTER BET WITH RAFE
FB4D	lphb-kafwithrafe	HEBREW LETTER KAF WITH RAFE
FB4E	lphb-pehwithrafe	HEBREW LETTER PE WITH RAFE
FB4F	lphb-ligaturealeflamed	HEBREW LIGATURE ALEF LAMED
