# Armenian 0530 - 058F
0531	Ayb	ARMENIAN CAPITAL LETTER AYB
0532	Ben	ARMENIAN CAPITAL LETTER BEN
0533	Gim	ARMENIAN CAPITAL LETTER GIM
0534	Da	ARMENIAN CAPITAL LETTER DA
0535	Ech	ARMENIAN CAPITAL LETTER ECH
0536	Za	ARMENIAN CAPITAL LETTER ZA
0537	Eh	ARMENIAN CAPITAL LETTER EH
0538	am-Et	ARMENIAN CAPITAL LETTER ET
0539	To	ARMENIAN CAPITAL LETTER TO
053A	am-Zhe	ARMENIAN CAPITAL LETTER ZHE
053B	Ini	ARMENIAN CAPITAL LETTER INI
053C	Liwn	ARMENIAN CAPITAL LETTER LIWN
053D	Xeh	ARMENIAN CAPITAL LETTER XEH
053E	Ca	ARMENIAN CAPITAL LETTER CA
053F	Ken	ARMENIAN CAPITAL LETTER KEN
0540	Ho	ARMENIAN CAPITAL LETTER HO
0541	Ja	ARMENIAN CAPITAL LETTER JA
0542	Ghad	ARMENIAN CAPITAL LETTER GHAD
0543	Cheh	ARMENIAN CAPITAL LETTER CHEH
0544	Men	ARMENIAN CAPITAL LETTER MEN
0545	Yi	ARMENIAN CAPITAL LETTER YI
0546	Now	ARMENIAN CAPITAL LETTER NOW
0547	am-Sha	ARMENIAN CAPITAL LETTER SHA
0548	Vo	ARMENIAN CAPITAL LETTER VO
0549	Cha	ARMENIAN CAPITAL LETTER CHA
054A	Peh	ARMENIAN CAPITAL LETTER PEH
054B	Jheh	ARMENIAN CAPITAL LETTER JHEH
054C	Ra	ARMENIAN CAPITAL LETTER RA
054D	Seh	ARMENIAN CAPITAL LETTER SEH
054E	Vew	ARMENIAN CAPITAL LETTER VEW
054F	Tiwn	ARMENIAN CAPITAL LETTER TIWN
0550	Reh	ARMENIAN CAPITAL LETTER REH
0551	Co	ARMENIAN CAPITAL LETTER CO
0552	Yiwn	ARMENIAN CAPITAL LETTER YIWN
0553	Piwr	ARMENIAN CAPITAL LETTER PIWR
0554	Keh	ARMENIAN CAPITAL LETTER KEH
0555	Oh	ARMENIAN CAPITAL LETTER OH
0556	Feh	ARMENIAN CAPITAL LETTER FEH
0559	ringhalfleft	ARMENIAN MODIFIER LETTER LEFT HALF RING
055A	apostrophe	ARMENIAN APOSTROPHE
055B	emphasismark	ARMENIAN EMPHASIS MARK
055C	am-exclam	ARMENIAN EXCLAMATION MARK
055D	am-comma	ARMENIAN COMMA
055E	am-question	ARMENIAN QUESTION MARK
055F	abbreviationmark	ARMENIAN ABBREVIATION MARK
0561	ayb	ARMENIAN SMALL LETTER AYB
0562	ben	ARMENIAN SMALL LETTER BEN
0563	gim	ARMENIAN SMALL LETTER GIM
0564	am-da	ARMENIAN SMALL LETTER DA
0565	ech	ARMENIAN SMALL LETTER ECH
0566	am-za	ARMENIAN SMALL LETTER ZA
0567	eh	ARMENIAN SMALL LETTER EH
0568	am-et	ARMENIAN SMALL LETTER ET
0569	to	ARMENIAN SMALL LETTER TO
056A	am-zhe	ARMENIAN SMALL LETTER ZHE
056B	ini	ARMENIAN SMALL LETTER INI
056C	liwn	ARMENIAN SMALL LETTER LIWN
056D	xeh	ARMENIAN SMALL LETTER XEH
056E	am-ca	ARMENIAN SMALL LETTER CA
056F	ken	ARMENIAN SMALL LETTER KEN
0570	ho	ARMENIAN SMALL LETTER HO
0571	am-ja	ARMENIAN SMALL LETTER JA
0572	ghad	ARMENIAN SMALL LETTER GHAD
0573	cheh	ARMENIAN SMALL LETTER CHEH
0574	men	ARMENIAN SMALL LETTER MEN
0575	yi	ARMENIAN SMALL LETTER YI
0576	now	ARMENIAN SMALL LETTER NOW
0577	am-sha	ARMENIAN SMALL LETTER SHA
0578	vo	ARMENIAN SMALL LETTER VO
0579	am-cha	ARMENIAN SMALL LETTER CHA
057A	am-peh	ARMENIAN SMALL LETTER PEH
057B	jheh	ARMENIAN SMALL LETTER JHEH
057C	am-ra	ARMENIAN SMALL LETTER RA
057D	seh	ARMENIAN SMALL LETTER SEH
057E	vew	ARMENIAN SMALL LETTER VEW
057F	tiwn	ARMENIAN SMALL LETTER TIWN
0580	am-reh	ARMENIAN SMALL LETTER REH
0581	co	ARMENIAN SMALL LETTER CO
0582	yiwn	ARMENIAN SMALL LETTER YIWN
0583	piwr	ARMENIAN SMALL LETTER PIWR
0584	keh	ARMENIAN SMALL LETTER KEH
0585	oh	ARMENIAN SMALL LETTER OH
0586	am-feh	ARMENIAN SMALL LETTER FEH
0587	ech_yiwn	ARMENIAN SMALL LIGATURE ECH YIWN
0589	am-period	ARMENIAN FULL STOP
058A	am-hyphen	ARMENIAN HYPHEN
