# Bengali 0980 - 09FF
0981	bngl-candrabindu	BENGALI SIGN CANDRABINDU
0982	bngl-anusvara	BENGALI SIGN ANUSVARA
0983	bngl-visarga	BENGALI SIGN VISARGA
0985	bngl-a	BENGALI LETTER A
0986	bngl-aa	BENGALI LETTER AA
0987	bngl-i	BENGALI LETTER I
0988	bngl-ii	BENGALI LETTER II
0989	bngl-u	BENGALI LETTER U
098A	bngl-uu	BENGALI LETTER UU
098B	bngl-rvocal	BENGALI LETTER VOCALIC R
098C	bngl-lvocal	BENGALI LETTER VOCALIC L
098F	bngl-e	BENGALI LETTER E
0990	bngl-ai	BENGALI LETTER AI
0993	bngl-o	BENGALI LETTER O
0994	bngl-au	BENGALI LETTER AU
0995	bngl-ka	BENGALI LETTER KA
0996	bngl-kha	BENGALI LETTER KHA
0997	bngl-ga	BENGALI LETTER GA
0998	bngl-gha	BENGALI LETTER GHA
0999	bngl-nga	BENGALI LETTER NGA
099A	bngl-ca	BENGALI LETTER CA
099B	bngl-cha	BENGALI LETTER CHA
099C	bngl-ja	BENGALI LETTER JA
099D	bngl-jha	BENGALI LETTER JHA
099E	bngl-nya	BENGALI LETTER NYA
099F	bngl-tta	BENGALI LETTER TTA
09A0	bngl-ttha	BENGALI LETTER TTHA
09A1	bngl-dda	BENGALI LETTER DDA
09A2	bngl-ddha	BENGALI LETTER DDHA
09A3	bngl-nna	BENGALI LETTER NNA
09A4	bngl-ta	BENGALI LETTER TA
09A5	bngl-tha	BENGALI LETTER THA
09A6	bngl-da	BENGALI LETTER DA
09A7	bngl-dha	BENGALI LETTER DHA
09A8	bngl-na	BENGALI LETTER NA
09AA	bngl-pa	BENGALI LETTER PA
09AB	bngl-pha	BENGALI LETTER PHA
09AC	bngl-ba	BENGALI LETTER BA
09AD	bngl-bha	BENGALI LETTER BHA
09AE	bngl-ma	BENGALI LETTER MA
09AF	bngl-ya	BENGALI LETTER YA
09B0	bngl-ra	BENGALI LETTER RA
09B2	bngl-la	BENGALI LETTER LA
09B6	bngl-sha	BENGALI LETTER SHA
09B7	bngl-ssa	BENGALI LETTER SSA
09B8	bngl-sa	BENGALI LETTER SA
09B9	bngl-ha	BENGALI LETTER HA
09BC	bngl-nukta	BENGALI SIGN NUKTA
09BD	bngl-avagraha	BENGALI SIGN AVAGRAHA
09BE	bngl-aasign	BENGALI VOWEL SIGN AA
09BF	bngl-isign	BENGALI VOWEL SIGN I
09C0	bngl-iisign	BENGALI VOWEL SIGN II
09C1	bngl-usign	BENGALI VOWEL SIGN U
09C2	bngl-uusign	BENGALI VOWEL SIGN UU
09C3	bngl-rvocalsign	BENGALI VOWEL SIGN VOCALIC R
09C4	bngl-rrvocalsign	BENGALI VOWEL SIGN VOCALIC RR
09C7	bngl-esign	BENGALI VOWEL SIGN E
09C8	bngl-aisign	BENGALI VOWEL SIGN AI
09CB	bngl-osign	BENGALI VOWEL SIGN O
09CC	bngl-ausign	BENGALI VOWEL SIGN AU
09CD	bngl-virama	BENGALI SIGN VIRAMA
09CE	khandata	BENGALI LETTER KHANDA TA
09D7	bngl-aulengthmark	BENGALI AU LENGTH MARK
09DC	bngl-rra	BENGALI LETTER RRA
09DD	bngl-rha	BENGALI LETTER RHA
09DF	bngl-yya	BENGALI LETTER YYA
09E0	bngl-rrvocal	BENGALI LETTER VOCALIC RR
09E1	bngl-llvocal	BENGALI LETTER VOCALIC LL
09E2	bngl-lvocalsign	BENGALI VOWEL SIGN VOCALIC L
09E3	bngl-llvocalsign	BENGALI VOWEL SIGN VOCALIC LL
09E6	bngl-zero	BENGALI DIGIT ZERO
09E7	bngl-one	BENGALI DIGIT ONE
09E8	bngl-two	BENGALI DIGIT TWO
09E9	bngl-three	BENGALI DIGIT THREE
09EA	bngl-four	BENGALI DIGIT FOUR
09EB	bngl-five	BENGALI DIGIT FIVE
09EC	bngl-six	BENGALI DIGIT SIX
09ED	bngl-seven	BENGALI DIGIT SEVEN
09EE	bngl-eight	BENGALI DIGIT EIGHT
09EF	bngl-nine	BENGALI DIGIT NINE
09F0	ramiddiagonal	BENGALI LETTER RA WITH MIDDLE DIAGONAL
09F1	ralowdiagonal	BENGALI LETTER RA WITH LOWER DIAGONAL
09F2	rupeemark	BENGALI RUPEE MARK
09F3	bngl-rupee	BENGALI RUPEE SIGN
09F4	onecurrencynumerator	BENGALI CURRENCY NUMERATOR ONE
09F5	twocurrencynumerator	BENGALI CURRENCY NUMERATOR TWO
09F6	threecurrencynumerator	BENGALI CURRENCY NUMERATOR THREE
09F7	fourcurrencynumerator	BENGALI CURRENCY NUMERATOR FOUR
09F8	currencyoneless	BENGALI CURRENCY NUMERATOR ONE LESS THAN THE DENOMINATOR
09F9	sixteencurrencydenominator	BENGALI CURRENCY DENOMINATOR SIXTEEN
09FA	bngl-isshar	BENGALI ISSHAR
09FB	gandamark	BENGALI GANDA MARK
