# Bopomofo 3100 - 312F
3105	bpmf-b	BOPOMOFO LETTER B
3106	bpmf-p	BOPOMOFO LETTER P
3107	bpmf-m	BOPOMOFO LETTER M
3108	bpmf-f	BOPOMOFO LETTER F
3109	bpmf-d	BOPOMOFO LETTER D
310A	bpmf-t	BOPOMOFO LETTER T
310B	bpmf-n	BOPOMOFO LETTER N
310C	bpmf-l	BOPOMOFO LETTER L
310D	bpmf-g	BOPOMOFO LETTER G
310E	bpmf-k	BOPOMOFO LETTER K
310F	bpmf-h	BOPOMOFO LETTER H
3110	bpmf-j	BOPOMOFO LETTER J
3111	bpmf-q	BOPOMOFO LETTER Q
3112	bpmf-x	BOPOMOFO LETTER X
3113	zh	BOPOMOFO LETTER ZH
3114	ch	BOPOMOFO LETTER CH
3115	sh	BOPOMOFO LETTER SH
3116	bpmf-r	BOPOMOFO LETTER R
3117	bpmf-z	BOPOMOFO LETTER Z
3118	bpmf-c	BOPOMOFO LETTER C
3119	bpmf-s	BOPOMOFO LETTER S
311A	bpmf-a	BOPOMOFO LETTER A
311B	bpmf-o	BOPOMOFO LETTER O
311C	bpmf-e	BOPOMOFO LETTER E
311D	bpmf-eh	BOPOMOFO LETTER EH
311E	bpmf-ai	BOPOMOFO LETTER AI
311F	ei	BOPOMOFO LETTER EI
3120	bpmf-au	BOPOMOFO LETTER AU
3121	bpmf-ou	BOPOMOFO LETTER OU
3122	an	BOPOMOFO LETTER AN
3123	bpmf-en	BOPOMOFO LETTER EN
3124	bpmf-ang	BOPOMOFO LETTER ANG
3125	bpmf-eng	BOPOMOFO LETTER ENG
3126	bpmf-er	BOPOMOFO LETTER ER
3127	bpmf-i	BOPOMOFO LETTER I
3128	bpmf-u	BOPOMOFO LETTER U
3129	iu	BOPOMOFO LETTER IU
312A	bpmf-v	BOPOMOFO LETTER V
312B	bpmf-ng	BOPOMOFO LETTER NG
312C	gn	BOPOMOFO LETTER GN
312D	ih	BOPOMOFO LETTER IH
