# CJK Compatibility 3300 - 33FF
3300	apaatofullwidth	SQUARE APAATO
3301	aruhuafullwidth	SQUARE ARUHUA
3302	anpeafullwidth	SQUARE ANPEA
3303	aarufullwidth	SQUARE AARU
3304	iningufullwidth	SQUARE ININGU
3305	intifullwidth	SQUARE INTI
3306	uonfullwidth	SQUARE UON
3307	esukuudofullwidth	SQUARE ESUKUUDO
3308	eekaafullwidth	SQUARE EEKAA
3309	onsufullwidth	SQUARE ONSU
330A	oomufullwidth	SQUARE OOMU
330B	kairifullwidth	SQUARE KAIRI
330C	karattofullwidth	SQUARE KARATTO
330D	karoriifullwidth	SQUARE KARORII
330E	garonfullwidth	SQUARE GARON
330F	ganmafullwidth	SQUARE GANMA
3310	gigafullwidth	SQUARE GIGA
3311	giniifullwidth	SQUARE GINII
3312	kyuriifullwidth	SQUARE KYURII
3313	girudaafullwidth	SQUARE GIRUDAA
3314	kirofullwidth	SQUARE KIRO
3315	kiroguramufullwidth	SQUARE KIROGURAMU
3316	kiromeetorufullwidth	SQUARE KIROMEETORU
3317	kirowattofullwidth	SQUARE KIROWATTO
3318	guramufullwidth	SQUARE GURAMU
3319	guramutonfullwidth	SQUARE GURAMUTON
331A	kuruzeirofullwidth	SQUARE KURUZEIRO
331B	kuroonefullwidth	SQUARE KUROONE
331C	keesufullwidth	SQUARE KEESU
331D	korunafullwidth	SQUARE KORUNA
331E	koopofullwidth	SQUARE KOOPO
331F	saikurufullwidth	SQUARE SAIKURU
3320	santiimufullwidth	SQUARE SANTIIMU
3321	siringufullwidth	SQUARE SIRINGU
3322	sentifullwidth	SQUARE SENTI
3323	sentofullwidth	SQUARE SENTO
3324	daasufullwidth	SQUARE DAASU
3325	desifullwidth	SQUARE DESI
3326	dorufullwidth	SQUARE DORU
3327	tonfullwidth	SQUARE TON
3328	nanofullwidth	SQUARE NANO
3329	nottofullwidth	SQUARE NOTTO
332A	haitufullwidth	SQUARE HAITU
332B	paasentofullwidth	SQUARE PAASENTO
332C	paatufullwidth	SQUARE PAATU
332D	baarerufullwidth	SQUARE BAARERU
332E	piasutorufullwidth	SQUARE PIASUTORU
332F	pikurufullwidth	SQUARE PIKURU
3330	pikofullwidth	SQUARE PIKO
3331	birufullwidth	SQUARE BIRU
3332	huaraddofullwidth	SQUARE HUARADDO
3333	huiitofullwidth	SQUARE HUIITO
3334	bussyerufullwidth	SQUARE BUSSYERU
3335	huranfullwidth	SQUARE HURAN
3336	hekutaarufullwidth	SQUARE HEKUTAARU
3337	pesofullwidth	SQUARE PESO
3338	penihifullwidth	SQUARE PENIHI
3339	herutufullwidth	SQUARE HERUTU
333A	pensufullwidth	SQUARE PENSU
333B	peezifullwidth	SQUARE PEEZI
333C	beetafullwidth	SQUARE BEETA
333D	pointofullwidth	SQUARE POINTO
333E	borutofullwidth	SQUARE BORUTO
333F	honfullwidth	SQUARE HON
3340	pondofullwidth	SQUARE PONDO
3341	hoorufullwidth	SQUARE HOORU
3342	hoonfullwidth	SQUARE HOON
3343	maikurofullwidth	SQUARE MAIKURO
3344	mairufullwidth	SQUARE MAIRU
3345	mahhafullwidth	SQUARE MAHHA
3346	marukufullwidth	SQUARE MARUKU
3347	mansyonfullwidth	SQUARE MANSYON
3348	mikuronfullwidth	SQUARE MIKURON
3349	mirifullwidth	SQUARE MIRI
334A	miribaarufullwidth	SQUARE MIRIBAARU
334B	megafullwidth	SQUARE MEGA
334C	megatonfullwidth	SQUARE MEGATON
334D	meetorufullwidth	SQUARE MEETORU
334E	yaadofullwidth	SQUARE YAADO
334F	yaarufullwidth	SQUARE YAARU
3350	yuanfullwidth	SQUARE YUAN
3351	rittorufullwidth	SQUARE RITTORU
3352	rirafullwidth	SQUARE RIRA
3353	rupiifullwidth	SQUARE RUPII
3354	ruuburufullwidth	SQUARE RUUBURU
3355	remufullwidth	SQUARE REMU
3356	rentogenfullwidth	SQUARE RENTOGEN
3357	wattofullwidth	SQUARE WATTO
3358	hourzerotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO
3359	houronetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE
335A	hourtwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO
335B	hourthreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE
335C	hourfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR
335D	hourfivetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE
335E	hoursixtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX
335F	hourseventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVEN
3360	houreighttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHT
3361	hourninetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINE
3362	hourtentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TEN
3363	houreleventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ELEVEN
3364	hourtwelvetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWELVE
3365	hourthirteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THIRTEEN
3366	hourfourteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOURTEEN
3367	hourfifteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN
3368	hoursixteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN
3369	hourseventeentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN
336A	houreighteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN
336B	hournineteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN
336C	hourtwentytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY
