# Devanagari 0900 - 097F
0900	candrabinduinverted	DEVANAGARI SIGN INVERTED CANDRABINDU
0901	dv-candrabindu	DEVANAGARI SIGN CANDRABINDU
0902	dv-anusvara	DEVANAGARI SIGN ANUSVARA
0903	dv-visarga	DEVANAGARI SIGN VISARGA
0904	ashort	DEVANAGARI LETTER SHORT A
0905	dv-a	DEVANAGARI LETTER A
0906	dv-aa	DEVANAGARI LETTER AA
0907	dv-i	DEVANAGARI LETTER I
0908	dv-ii	DEVANAGARI LETTER II
0909	dv-u	DEVANAGARI LETTER U
090A	dv-uu	DEVANAGARI LETTER UU
090B	dv-rvocal	DEVANAGARI LETTER VOCALIC R
090C	dv-lvocal	DEVANAGARI LETTER VOCALIC L
090D	dv-ecandra	DEVANAGARI LETTER CANDRA E
090E	eshort	DEVANAGARI LETTER SHORT E
090F	dv-e	DEVANAGARI LETTER E
0910	dv-ai	DEVANAGARI LETTER AI
0911	dv-ocandra	DEVANAGARI LETTER CANDRA O
0912	oshort	DEVANAGARI LETTER SHORT O
0913	dv-o	DEVANAGARI LETTER O
0914	dv-au	DEVANAGARI LETTER AU
0915	dv-ka	DEVANAGARI LETTER KA
0916	dv-kha	DEVANAGARI LETTER KHA
0917	dv-ga	DEVANAGARI LETTER GA
0918	dv-gha	DEVANAGARI LETTER GHA
0919	dv-nga	DEVANAGARI LETTER NGA
091A	dv-ca	DEVANAGARI LETTER CA
091B	dv-cha	DEVANAGARI LETTER CHA
091C	dv-ja	DEVANAGARI LETTER JA
091D	dv-jha	DEVANAGARI LETTER JHA
091E	dv-nya	DEVANAGARI LETTER NYA
091F	dv-tta	DEVANAGARI LETTER TTA
0920	dv-ttha	DEVANAGARI LETTER TTHA
0921	dv-dda	DEVANAGARI LETTER DDA
0922	dv-ddha	DEVANAGARI LETTER DDHA
0923	dv-nna	DEVANAGARI LETTER NNA
0924	dv-ta	DEVANAGARI LETTER TA
0925	dv-tha	DEVANAGARI LETTER THA
0926	dv-da	DEVANAGARI LETTER DA
0927	dv-dha	DEVANAGARI LETTER DHA
0928	dv-na	DEVANAGARI LETTER NA
0929	dv-nnna	DEVANAGARI LETTER NNNA
092A	dv-pa	DEVANAGARI LETTER PA
092B	dv-pha	DEVANAGARI LETTER PHA
092C	dv-ba	DEVANAGARI LETTER BA
092D	dv-bha	DEVANAGARI LETTER BHA
092E	dv-ma	DEVANAGARI LETTER MA
092F	dv-ya	DEVANAGARI LETTER YA
0930	dv-ra	DEVANAGARI LETTER RA
0931	dv-rra	DEVANAGARI LETTER RRA
0932	dv-la	DEVANAGARI LETTER LA
0933	dv-lla	DEVANAGARI LETTER LLA
0934	dv-llla	DEVANAGARI LETTER LLLA
0935	dv-va	DEVANAGARI LETTER VA
0936	dv-sha	DEVANAGARI LETTER SHA
0937	dv-ssa	DEVANAGARI LETTER SSA
0938	dv-sa	DEVANAGARI LETTER SA
0939	dv-ha	DEVANAGARI LETTER HA
093C	dv-nukta	DEVANAGARI SIGN NUKTA
093D	dv-avagraha	DEVANAGARI SIGN AVAGRAHA
093E	dv-aasign	DEVANAGARI VOWEL SIGN AA
093F	dv-isign	DEVANAGARI VOWEL SIGN I
0940	dv-iisign	DEVANAGARI VOWEL SIGN II
0941	dv-usign	DEVANAGARI VOWEL SIGN U
0942	dv-uusign	DEVANAGARI VOWEL SIGN UU
0943	dv-rvocalsign	DEVANAGARI VOWEL SIGN VOCALIC R
0944	dv-rrvocalsign	DEVANAGARI VOWEL SIGN VOCALIC RR
0945	dv-esigncandra	DEVANAGARI VOWEL SIGN CANDRA E
0946	esignshort	DEVANAGARI VOWEL SIGN SHORT E
0947	dv-esign	DEVANAGARI VOWEL SIGN E
0948	dv-aisign	DEVANAGARI VOWEL SIGN AI
0949	dv-osigncandra	DEVANAGARI VOWEL SIGN CANDRA O
094A	osignshort	DEVANAGARI VOWEL SIGN SHORT O
094B	dv-osign	DEVANAGARI VOWEL SIGN O
094C	dv-ausign	DEVANAGARI VOWEL SIGN AU
094D	dv-virama	DEVANAGARI SIGN VIRAMA
094E	esignprishthamatra	DEVANAGARI VOWEL SIGN PRISHTHAMATRA E
0950	dv-om	DEVANAGARI OM
0951	udatta	DEVANAGARI STRESS SIGN UDATTA
0952	anudatta	DEVANAGARI STRESS SIGN ANUDATTA
0953	dv-grave	DEVANAGARI GRAVE ACCENT
0954	dv-acute	DEVANAGARI ACUTE ACCENT
0955	signelongcandra	DEVANAGARI VOWEL SIGN CANDRA LONG E
0958	dv-qa	DEVANAGARI LETTER QA
0959	dv-khha	DEVANAGARI LETTER KHHA
095A	dv-ghha	DEVANAGARI LETTER GHHA
095B	dv-za	DEVANAGARI LETTER ZA
095C	dddha	DEVANAGARI LETTER DDDHA
095D	dv-rha	DEVANAGARI LETTER RHA
095E	dv-fa	DEVANAGARI LETTER FA
095F	dv-yya	DEVANAGARI LETTER YYA
0960	dv-rrvocal	DEVANAGARI LETTER VOCALIC RR
0961	dv-llvocal	DEVANAGARI LETTER VOCALIC LL
0962	dv-lvocalsign	DEVANAGARI VOWEL SIGN VOCALIC L
0963	dv-llvocalsign	DEVANAGARI VOWEL SIGN VOCALIC LL
0964	danda	DEVANAGARI DANDA
0965	dbldanda	DEVANAGARI DOUBLE DANDA
0966	dv-zero	DEVANAGARI DIGIT ZERO
0967	dv-one	DEVANAGARI DIGIT ONE
0968	dv-two	DEVANAGARI DIGIT TWO
0969	dv-three	DEVANAGARI DIGIT THREE
096A	dv-four	DEVANAGARI DIGIT FOUR
096B	dv-five	DEVANAGARI DIGIT FIVE
096C	dv-six	DEVANAGARI DIGIT SIX
096D	dv-seven	DEVANAGARI DIGIT SEVEN
096E	dv-eight	DEVANAGARI DIGIT EIGHT
096F	dv-nine	DEVANAGARI DIGIT NINE
0970	abbreviation	DEVANAGARI ABBREVIATION SIGN
0971	dothigh	DEVANAGARI SIGN HIGH SPACING DOT
0972	acandra	DEVANAGARI LETTER CANDRA A
0979	dv-zha	DEVANAGARI LETTER ZHA
097A	yaheavy	DEVANAGARI LETTER HEAVY YA
097B	dv-gga	DEVANAGARI LETTER GGA
097C	jja	DEVANAGARI LETTER JJA
097D	dv-glottalstop	DEVANAGARI LETTER GLOTTAL STOP
097E	ddda	DEVANAGARI LETTER DDDA
097F	bba	DEVANAGARI LETTER BBA
