# Domino Tiles 1F030 - 1F09F
1F030	dominotilehorizontalback	DOMINO TILE HORIZONTAL BACK
1F031	dominotilehorizontal0000	DOMINO TILE HORIZONTAL-00-00
1F032	dominotilehorizontal0001	DOMINO TILE HORIZONTAL-00-01
1F033	dominotilehorizontal0002	DOMINO TILE HORIZONTAL-00-02
1F034	dominotilehorizontal0003	DOMINO TILE HORIZONTAL-00-03
1F035	dominotilehorizontal0004	DOMINO TILE HORIZONTAL-00-04
1F036	dominotilehorizontal0005	DOMINO TILE HORIZONTAL-00-05
1F037	dominotilehorizontal0006	DOMINO TILE HORIZONTAL-00-06
1F038	dominotilehorizontal0100	DOMINO TILE HORIZONTAL-01-00
1F039	dominotilehorizontal0101	DOMINO TILE HORIZONTAL-01-01
1F03A	dominotilehorizontal0102	DOMINO TILE HORIZONTAL-01-02
1F03B	dominotilehorizontal0103	DOMINO TILE HORIZONTAL-01-03
1F03C	dominotilehorizontal0104	DOMINO TILE HORIZONTAL-01-04
1F03D	dominotilehorizontal0105	DOMINO TILE HORIZONTAL-01-05
1F03E	dominotilehorizontal0106	DOMINO TILE HORIZONTAL-01-06
1F03F	dominotilehorizontal0200	DOMINO TILE HORIZONTAL-02-00
1F040	dominotilehorizontal0201	DOMINO TILE HORIZONTAL-02-01
1F041	dominotilehorizontal0202	DOMINO TILE HORIZONTAL-02-02
1F042	dominotilehorizontal0203	DOMINO TILE HORIZONTAL-02-03
1F043	dominotilehorizontal0204	DOMINO TILE HORIZONTAL-02-04
1F044	dominotilehorizontal0205	DOMINO TILE HORIZONTAL-02-05
1F045	dominotilehorizontal0206	DOMINO TILE HORIZONTAL-02-06
1F046	dominotilehorizontal0300	DOMINO TILE HORIZONTAL-03-00
1F047	dominotilehorizontal0301	DOMINO TILE HORIZONTAL-03-01
1F048	dominotilehorizontal0302	DOMINO TILE HORIZONTAL-03-02
1F049	dominotilehorizontal0303	DOMINO TILE HORIZONTAL-03-03
1F04A	dominotilehorizontal0304	DOMINO TILE HORIZONTAL-03-04
1F04B	dominotilehorizontal0305	DOMINO TILE HORIZONTAL-03-05
1F04C	dominotilehorizontal0306	DOMINO TILE HORIZONTAL-03-06
1F04D	dominotilehorizontal0400	DOMINO TILE HORIZONTAL-04-00
1F04E	dominotilehorizontal0401	DOMINO TILE HORIZONTAL-04-01
1F04F	dominotilehorizontal0402	DOMINO TILE HORIZONTAL-04-02
1F050	dominotilehorizontal0403	DOMINO TILE HORIZONTAL-04-03
1F051	dominotilehorizontal0404	DOMINO TILE HORIZONTAL-04-04
1F052	dominotilehorizontal0405	DOMINO TILE HORIZONTAL-04-05
1F053	dominotilehorizontal0406	DOMINO TILE HORIZONTAL-04-06
1F054	dominotilehorizontal0500	DOMINO TILE HORIZONTAL-05-00
1F055	dominotilehorizontal0501	DOMINO TILE HORIZONTAL-05-01
1F056	dominotilehorizontal0502	DOMINO TILE HORIZONTAL-05-02
1F057	dominotilehorizontal0503	DOMINO TILE HORIZONTAL-05-03
1F058	dominotilehorizontal0504	DOMINO TILE HORIZONTAL-05-04
1F059	dominotilehorizontal0505	DOMINO TILE HORIZONTAL-05-05
1F05A	dominotilehorizontal0506	DOMINO TILE HORIZONTAL-05-06
1F05B	dominotilehorizontal0600	DOMINO TILE HORIZONTAL-06-00
1F05C	dominotilehorizontal0601	DOMINO TILE HORIZONTAL-06-01
1F05D	dominotilehorizontal0602	DOMINO TILE HORIZONTAL-06-02
1F05E	dominotilehorizontal0603	DOMINO TILE HORIZONTAL-06-03
1F05F	dominotilehorizontal0604	DOMINO TILE HORIZONTAL-06-04
1F060	dominotilehorizontal0605	DOMINO TILE HORIZONTAL-06-05
1F061	dominotilehorizontal0606	DOMINO TILE HORIZONTAL-06-06
1F062	dominotileverticalback	DOMINO TILE VERTICAL BACK
1F063	dominotilevertical0000	DOMINO TILE VERTICAL-00-00
1F064	dominotilevertical0001	DOMINO TILE VERTICAL-00-01
1F065	dominotilevertical0002	DOMINO TILE VERTICAL-00-02
1F066	dominotilevertical0003	DOMINO TILE VERTICAL-00-03
1F067	dominotilevertical0004	DOMINO TILE VERTICAL-00-04
1F068	dominotilevertical0005	DOMINO TILE VERTICAL-00-05
1F069	dominotilevertical0006	DOMINO TILE VERTICAL-00-06
1F06A	dominotilevertical0100	DOMINO TILE VERTICAL-01-00
1F06B	dominotilevertical0101	DOMINO TILE VERTICAL-01-01
1F06C	dominotilevertical0102	DOMINO TILE VERTICAL-01-02
1F06D	dominotilevertical0103	DOMINO TILE VERTICAL-01-03
1F06E	dominotilevertical0104	DOMINO TILE VERTICAL-01-04
1F06F	dominotilevertical0105	DOMINO TILE VERTICAL-01-05
1F070	dominotilevertical0106	DOMINO TILE VERTICAL-01-06
1F071	dominotilevertical0200	DOMINO TILE VERTICAL-02-00
1F072	dominotilevertical0201	DOMINO TILE VERTICAL-02-01
1F073	dominotilevertical0202	DOMINO TILE VERTICAL-02-02
1F074	dominotilevertical0203	DOMINO TILE VERTICAL-02-03
