# Ethiopic 1200 - 137F
1200	et-ha	ETHIOPIC SYLLABLE HA
1201	et-hu	ETHIOPIC SYLLABLE HU
1202	et-hi	ETHIOPIC SYLLABLE HI
1203	et-haa	ETHIOPIC SYLLABLE HAA
1204	et-hee	ETHIOPIC SYLLABLE HEE
1205	et-he	ETHIOPIC SYLLABLE HE
1206	et-ho	ETHIOPIC SYLLABLE HO
1207	et-hoa	ETHIOPIC SYLLABLE HOA
1208	et-la	ETHIOPIC SYLLABLE LA
1209	et-lu	ETHIOPIC SYLLABLE LU
120A	et-li	ETHIOPIC SYLLABLE LI
120B	et-laa	ETHIOPIC SYLLABLE LAA
120C	et-lee	ETHIOPIC SYLLABLE LEE
120D	et-le	ETHIOPIC SYLLABLE LE
120E	et-lo	ETHIOPIC SYLLABLE LO
120F	et-lwa	ETHIOPIC SYLLABLE LWA
1210	et-hha	ETHIOPIC SYLLABLE HHA
1211	et-hhu	ETHIOPIC SYLLABLE HHU
1212	et-hhi	ETHIOPIC SYLLABLE HHI
1213	et-hhaa	ETHIOPIC SYLLABLE HHAA
1214	et-hhee	ETHIOPIC SYLLABLE HHEE
1215	et-hhe	ETHIOPIC SYLLABLE HHE
1216	et-hho	ETHIOPIC SYLLABLE HHO
1217	et-hhwa	ETHIOPIC SYLLABLE HHWA
1218	et-ma	ETHIOPIC SYLLABLE MA
1219	et-mu	ETHIOPIC SYLLABLE MU
121A	et-mi	ETHIOPIC SYLLABLE MI
121B	et-maa	ETHIOPIC SYLLABLE MAA
121C	et-mee	ETHIOPIC SYLLABLE MEE
121D	et-me	ETHIOPIC SYLLABLE ME
121E	et-mo	ETHIOPIC SYLLABLE MO
121F	et-mwa	ETHIOPIC SYLLABLE MWA
1220	et-sza	ETHIOPIC SYLLABLE SZA
1221	et-szu	ETHIOPIC SYLLABLE SZU
1222	et-szi	ETHIOPIC SYLLABLE SZI
1223	et-szaa	ETHIOPIC SYLLABLE SZAA
1224	et-szee	ETHIOPIC SYLLABLE SZEE
1225	et-sze	ETHIOPIC SYLLABLE SZE
1226	et-szo	ETHIOPIC SYLLABLE SZO
1227	et-szwa	ETHIOPIC SYLLABLE SZWA
