# Gujarati 0A80 - 0AFF
0A81	binducandra	GUJARATI SIGN CANDRABINDU
0A82	gjrt-anusvara	GUJARATI SIGN ANUSVARA
0A83	gjrt-visarga	GUJARATI SIGN VISARGA
0A85	gjrt-a	GUJARATI LETTER A
0A86	gjrt-aa	GUJARATI LETTER AA
0A87	gjrt-i	GUJARATI LETTER I
0A88	gjrt-ii	GUJARATI LETTER II
0A89	gjrt-u	GUJARATI LETTER U
0A8A	gjrt-uu	GUJARATI LETTER UU
0A8B	gjrt-rvocal	GUJARATI LETTER VOCALIC R
0A8C	gjrt-lvocal	GUJARATI LETTER VOCALIC L
0A8D	gjrt-ecandra	GUJARATI VOWEL CANDRA E
0A8F	gjrt-e	GUJARATI LETTER E
0A90	gjrt-ai	GUJARATI LETTER AI
0A91	gjrt-ocandra	GUJARATI VOWEL CANDRA O
0A93	gjrt-o	GUJARATI LETTER O
0A94	gjrt-au	GUJARATI LETTER AU
0A95	gjrt-ka	GUJARATI LETTER KA
0A96	gjrt-kha	GUJARATI LETTER KHA
0A97	gjrt-ga	GUJARATI LETTER GA
0A98	gjrt-gha	GUJARATI LETTER GHA
0A99	gjrt-nga	GUJARATI LETTER NGA
0A9A	gjrt-ca	GUJARATI LETTER CA
0A9B	gjrt-cha	GUJARATI LETTER CHA
0A9C	gjrt-ja	GUJARATI LETTER JA
0A9D	gjrt-jha	GUJARATI LETTER JHA
0A9E	gjrt-nya	GUJARATI LETTER NYA
0A9F	gjrt-tta	GUJARATI LETTER TTA
0AA0	gjrt-ttha	GUJARATI LETTER TTHA
0AA1	gjrt-dda	GUJARATI LETTER DDA
0AA2	gjrt-ddha	GUJARATI LETTER DDHA
0AA3	gjrt-nna	GUJARATI LETTER NNA
0AA4	gjrt-ta	GUJARATI LETTER TA
0AA5	gjrt-tha	GUJARATI LETTER THA
0AA6	gjrt-da	GUJARATI LETTER DA
0AA7	gjrt-dha	GUJARATI LETTER DHA
0AA8	gjrt-na	GUJARATI LETTER NA
0AAA	gjrt-pa	GUJARATI LETTER PA
0AAB	gjrt-pha	GUJARATI LETTER PHA
0AAC	gjrt-ba	GUJARATI LETTER BA
0AAD	gjrt-bha	GUJARATI LETTER BHA
0AAE	gjrt-ma	GUJARATI LETTER MA
0AAF	gjrt-ya	GUJARATI LETTER YA
0AB0	gjrt-ra	GUJARATI LETTER RA
0AB2	gjrt-la	GUJARATI LETTER LA
0AB3	gjrt-lla	GUJARATI LETTER LLA
0AB5	gjrt-va	GUJARATI LETTER VA
0AB6	gjrt-sha	GUJARATI LETTER SHA
0AB7	gjrt-ssa	GUJARATI LETTER SSA
0AB8	gjrt-sa	GUJARATI LETTER SA
0AB9	gjrt-ha	GUJARATI LETTER HA
0ABC	gjrt-nukta	GUJARATI SIGN NUKTA
0ABD	gjrt-avagraha	GUJARATI SIGN AVAGRAHA
0ABE	gjrt-aasign	GUJARATI VOWEL SIGN AA
0ABF	gjrt-isign	GUJARATI VOWEL SIGN I
0AC0	gjrt-iisign	GUJARATI VOWEL SIGN II
0AC1	gjrt-usign	GUJARATI VOWEL SIGN U
0AC2	gjrt-uusign	GUJARATI VOWEL SIGN UU
0AC3	gjrt-rvocalsign	GUJARATI VOWEL SIGN VOCALIC R
0AC4	gjrt-rrvocalsign	GUJARATI VOWEL SIGN VOCALIC RR
0AC5	gjrt-esigncandra	GUJARATI VOWEL SIGN CANDRA E
0AC7	gjrt-esign	GUJARATI VOWEL SIGN E
0AC8	gjrt-aisign	GUJARATI VOWEL SIGN AI
0AC9	gjrt-osigncandra	GUJARATI VOWEL SIGN CANDRA O
0ACB	gjrt-osign	GUJARATI VOWEL SIGN O
0ACC	gjrt-ausign	GUJARATI VOWEL SIGN AU
0ACD	gjrt-virama	GUJARATI SIGN VIRAMA
0AD0	gjrt-om	GUJARATI OM
0AE0	gjrt-rrvocal	GUJARATI LETTER VOCALIC RR
0AE1	gjrt-llvocal	GUJARATI LETTER VOCALIC LL
0AE2	gjrt-lvocalsign	GUJARATI VOWEL SIGN VOCALIC L
0AE3	gjrt-llvocalsign	GUJARATI VOWEL SIGN VOCALIC LL
0AE6	gjrt-zero	GUJARATI DIGIT ZERO
0AE7	gjrt-one	GUJARATI DIGIT ONE
0AE8	gjrt-two	GUJARATI DIGIT TWO
0AE9	gjrt-three	GUJARATI DIGIT THREE
0AEA	gjrt-four	GUJARATI DIGIT FOUR
0AEB	gjrt-five	GUJARATI DIGIT FIVE
0AEC	gjrt-six	GUJARATI DIGIT SIX
0AED	gjrt-seven	GUJARATI DIGIT SEVEN
0AEE	gjrt-eight	GUJARATI DIGIT EIGHT
0AEF	gjrt-nine	GUJARATI DIGIT NINE
0AF1	gjrt-rupee	GUJARATI RUPEE SIGN
