# Gurmukhi 0A00 - 0A7F
0A01	grmk-adakbindisign	GURMUKHI SIGN ADAK BINDI
0A02	grmk-bindisign	GURMUKHI SIGN BINDI
0A03	grmk-visarga	GURMUKHI SIGN VISARGA
0A05	grmk-a	GURMUKHI LETTER A
0A06	grmk-aa	GURMUKHI LETTER AA
0A07	grmk-i	GURMUKHI LETTER I
0A08	grmk-ii	GURMUKHI LETTER II
0A09	grmk-u	GURMUKHI LETTER U
0A0A	grmk-uu	GURMUKHI LETTER UU
0A0F	grmk-ee	GURMUKHI LETTER EE
0A10	grmk-ai	GURMUKHI LETTER AI
0A13	grmk-oo	GURMUKHI LETTER OO
0A14	grmk-au	GURMUKHI LETTER AU
0A15	grmk-ka	GURMUKHI LETTER KA
0A16	grmk-kha	GURMUKHI LETTER KHA
0A17	grmk-ga	GURMUKHI LETTER GA
0A18	grmk-gha	GURMUKHI LETTER GHA
0A19	grmk-nga	GURMUKHI LETTER NGA
0A1A	grmk-ca	GURMUKHI LETTER CA
0A1B	grmk-cha	GURMUKHI LETTER CHA
0A1C	grmk-ja	GURMUKHI LETTER JA
0A1D	grmk-jha	GURMUKHI LETTER JHA
0A1E	grmk-nya	GURMUKHI LETTER NYA
0A1F	grmk-tta	GURMUKHI LETTER TTA
0A20	grmk-ttha	GURMUKHI LETTER TTHA
0A21	grmk-dda	GURMUKHI LETTER DDA
0A22	grmk-ddha	GURMUKHI LETTER DDHA
0A23	grmk-nna	GURMUKHI LETTER NNA
0A24	grmk-ta	GURMUKHI LETTER TA
0A25	grmk-tha	GURMUKHI LETTER THA
0A26	grmk-da	GURMUKHI LETTER DA
0A27	grmk-dha	GURMUKHI LETTER DHA
0A28	grmk-na	GURMUKHI LETTER NA
0A2A	grmk-pa	GURMUKHI LETTER PA
0A2B	grmk-pha	GURMUKHI LETTER PHA
0A2C	grmk-ba	GURMUKHI LETTER BA
0A2D	grmk-bha	GURMUKHI LETTER BHA
0A2E	grmk-ma	GURMUKHI LETTER MA
0A2F	grmk-ya	GURMUKHI LETTER YA
0A30	grmk-ra	GURMUKHI LETTER RA
0A32	grmk-la	GURMUKHI LETTER LA
0A33	grmk-lla	GURMUKHI LETTER LLA
0A35	grmk-va	GURMUKHI LETTER VA
0A36	grmk-sha	GURMUKHI LETTER SHA
0A38	grmk-sa	GURMUKHI LETTER SA
0A39	grmk-ha	GURMUKHI LETTER HA
0A3C	grmk-nukta	GURMUKHI SIGN NUKTA
0A3E	grmk-aasign	GURMUKHI VOWEL SIGN AA
0A3F	grmk-isign	GURMUKHI VOWEL SIGN I
0A40	grmk-iisign	GURMUKHI VOWEL SIGN II
0A41	grmk-usign	GURMUKHI VOWEL SIGN U
0A42	grmk-uusign	GURMUKHI VOWEL SIGN UU
0A47	grmk-eesign	GURMUKHI VOWEL SIGN EE
0A48	grmk-aisign	GURMUKHI VOWEL SIGN AI
0A4B	grmk-oosign	GURMUKHI VOWEL SIGN OO
0A4C	grmk-ausign	GURMUKHI VOWEL SIGN AU
0A4D	grmk-virama	GURMUKHI SIGN VIRAMA
0A51	grmk-udaatsign	GURMUKHI SIGN UDAAT
0A59	grmk-khha	GURMUKHI LETTER KHHA
0A5A	grmk-ghha	GURMUKHI LETTER GHHA
0A5B	grmk-za	GURMUKHI LETTER ZA
0A5C	grmk-rra	GURMUKHI LETTER RRA
0A5E	grmk-fa	GURMUKHI LETTER FA
0A66	grmk-zero	GURMUKHI DIGIT ZERO
0A67	grmk-one	GURMUKHI DIGIT ONE
0A68	grmk-two	GURMUKHI DIGIT TWO
0A69	grmk-three	GURMUKHI DIGIT THREE
0A6A	grmk-four	GURMUKHI DIGIT FOUR
0A6B	grmk-five	GURMUKHI DIGIT FIVE
0A6C	grmk-six	GURMUKHI DIGIT SIX
0A6D	grmk-seven	GURMUKHI DIGIT SEVEN
0A6E	grmk-eight	GURMUKHI DIGIT EIGHT
0A6F	grmk-nine	GURMUKHI DIGIT NINE
0A70	grmk-tippi	GURMUKHI TIPPI
0A71	grmk-addak	GURMUKHI ADDAK
0A72	grmk-iri	GURMUKHI IRI
0A73	grmk-ura	GURMUKHI URA
0A74	grmk-ekonkar	GURMUKHI EK ONKAR
0A75	grmk-yakashsign	GURMUKHI SIGN YAKASH
