# Hangul Compatibility Jamo 3130 - 318F
3131	kiyeok	HANGUL LETTER KIYEOK
3132	ssangkiyeok	HANGUL LETTER SSANGKIYEOK
3133	kiyeoksios	HANGUL LETTER KIYEOK-SIOS
3134	nieun	HANGUL LETTER NIEUN
3135	nieuncieuc	HANGUL LETTER NIEUN-CIEUC
3136	nieunhieuh	HANGUL LETTER NIEUN-HIEUH
3137	tikeut	HANGUL LETTER TIKEUT
3138	ssangtikeut	HANGUL LETTER SSANGTIKEUT
3139	rieul	HANGUL LETTER RIEUL
313A	rieulkiyeok	HANGUL LETTER RIEUL-KIYEOK
313B	rieulmieum	HANGUL LETTER RIEUL-MIEUM
313C	rieulpieup	HANGUL LETTER RIEUL-PIEUP
313D	rieulsios	HANGUL LETTER RIEUL-SIOS
313E	rieulthieuth	HANGUL LETTER RIEUL-THIEUTH
313F	rieulphieuph	HANGUL LETTER RIEUL-PHIEUPH
3140	rieulhieuh	HANGUL LETTER RIEUL-HIEUH
3141	mieum	HANGUL LETTER MIEUM
3142	pieup	HANGUL LETTER PIEUP
3143	ssangpieup	HANGUL LETTER SSANGPIEUP
3144	pieupsios	HANGUL LETTER PIEUP-SIOS
3145	sios	HANGUL LETTER SIOS
3146	ssangsios	HANGUL LETTER SSANGSIOS
3147	ieung	HANGUL LETTER IEUNG
3148	cieuc	HANGUL LETTER CIEUC
3149	ssangcieuc	HANGUL LETTER SSANGCIEUC
314A	chieuch	HANGUL LETTER CHIEUCH
314B	khieukh	HANGUL LETTER KHIEUKH
314C	thieuth	HANGUL LETTER THIEUTH
314D	phieuph	HANGUL LETTER PHIEUPH
314E	hieuh	HANGUL LETTER HIEUH
314F	ko-a	HANGUL LETTER A
3150	ko-ae	HANGUL LETTER AE
3151	ko-ya	HANGUL LETTER YA
3152	ko-yae	HANGUL LETTER YAE
3153	eo	HANGUL LETTER EO
3154	ko-e	HANGUL LETTER E
3155	yeo	HANGUL LETTER YEO
3156	ko-ye	HANGUL LETTER YE
3157	ko-o	HANGUL LETTER O
3158	ko-wa	HANGUL LETTER WA
3159	wae	HANGUL LETTER WAE
315A	ko-oe	HANGUL LETTER OE
315B	ko-yo	HANGUL LETTER YO
315C	ko-u	HANGUL LETTER U
315D	weo	HANGUL LETTER WEO
315E	ko-we	HANGUL LETTER WE
315F	ko-wi	HANGUL LETTER WI
3160	ko-yu	HANGUL LETTER YU
3161	eu	HANGUL LETTER EU
3162	ko-yi	HANGUL LETTER YI
3163	ko-i	HANGUL LETTER I
3164	filler	HANGUL FILLER
3165	ssangnieun	HANGUL LETTER SSANGNIEUN
3166	nieuntikeut	HANGUL LETTER NIEUN-TIKEUT
3167	nieunsios	HANGUL LETTER NIEUN-SIOS
3168	nieunpansios	HANGUL LETTER NIEUN-PANSIOS
3169	rieulkiyeoksios	HANGUL LETTER RIEUL-KIYEOK-SIOS
316A	rieultikeut	HANGUL LETTER RIEUL-TIKEUT
316B	rieulpieupsios	HANGUL LETTER RIEUL-PIEUP-SIOS
316C	rieulpansios	HANGUL LETTER RIEUL-PANSIOS
316D	rieulyeorinhieuh	HANGUL LETTER RIEUL-YEORINHIEUH
316E	mieumpieup	HANGUL LETTER MIEUM-PIEUP
316F	mieumsios	HANGUL LETTER MIEUM-SIOS
3170	mieumpansios	HANGUL LETTER MIEUM-PANSIOS
3171	kapyeounmieum	HANGUL LETTER KAPYEOUNMIEUM
3172	pieupkiyeok	HANGUL LETTER PIEUP-KIYEOK
3173	pieuptikeut	HANGUL LETTER PIEUP-TIKEUT
3174	pieupsioskiyeok	HANGUL LETTER PIEUP-SIOS-KIYEOK
3175	pieupsiostikeut	HANGUL LETTER PIEUP-SIOS-TIKEUT
3176	pieupcieuc	HANGUL LETTER PIEUP-CIEUC
3177	pieupthieuth	HANGUL LETTER PIEUP-THIEUTH
3178	kapyeounpieup	HANGUL LETTER KAPYEOUNPIEUP
3179	kapyeounssangpieup	HANGUL LETTER KAPYEOUNSSANGPIEUP
317A	sioskiyeok	HANGUL LETTER SIOS-KIYEOK
317B	siosnieun	HANGUL LETTER SIOS-NIEUN
317C	siostikeut	HANGUL LETTER SIOS-TIKEUT
317D	siospieup	HANGUL LETTER SIOS-PIEUP
317E	sioscieuc	HANGUL LETTER SIOS-CIEUC
317F	pansios	HANGUL LETTER PANSIOS
3180	ssangieung	HANGUL LETTER SSANGIEUNG
3181	yesieung	HANGUL LETTER YESIEUNG
3182	yesieungsios	HANGUL LETTER YESIEUNG-SIOS
3183	yesieungpansios	HANGUL LETTER YESIEUNG-PANSIOS
3184	kapyeounphieuph	HANGUL LETTER KAPYEOUNPHIEUPH
3185	ssanghieuh	HANGUL LETTER SSANGHIEUH
3186	yeorinhieuh	HANGUL LETTER YEORINHIEUH
3187	yoya	HANGUL LETTER YO-YA
3188	yoyae	HANGUL LETTER YO-YAE
3189	yoi	HANGUL LETTER YO-I
318A	yuyeo	HANGUL LETTER YU-YEO
318B	yuye	HANGUL LETTER YU-YE
318C	yui	HANGUL LETTER YU-I
318D	araea	HANGUL LETTER ARAEA
318E	araeae	HANGUL LETTER ARAEAE
