# Hangul Jamo 1100 - 11FF
1100	kiyeokchoseong	HANGUL CHOSEONG KIYEOK
1101	ssangkiyeokchoseong	HANGUL CHOSEONG SSANGKIYEOK
1102	nieunchoseong	HANGUL CHOSEONG NIEUN
1103	tikeutchoseong	HANGUL CHOSEONG TIKEUT
1104	ssangtikeutchoseong	HANGUL CHOSEONG SSANGTIKEUT
1105	rieulchoseong	HANGUL CHOSEONG RIEUL
1106	mieumchoseong	HANGUL CHOSEONG MIEUM
1107	pieupchoseong	HANGUL CHOSEONG PIEUP
1108	ssangpieupchoseong	HANGUL CHOSEONG SSANGPIEUP
1109	sioschoseong	HANGUL CHOSEONG SIOS
110A	ssangsioschoseong	HANGUL CHOSEONG SSANGSIOS
110B	ieungchoseong	HANGUL CHOSEONG IEUNG
110C	cieucchoseong	HANGUL CHOSEONG CIEUC
110D	ssangcieucchoseong	HANGUL CHOSEONG SSANGCIEUC
110E	chieuchchoseong	HANGUL CHOSEONG CHIEUCH
110F	khieukhchoseong	HANGUL CHOSEONG KHIEUKH
1110	thieuthchoseong	HANGUL CHOSEONG THIEUTH
1111	phieuphchoseong	HANGUL CHOSEONG PHIEUPH
1112	hieuhchoseong	HANGUL CHOSEONG HIEUH
1113	nieunkiyeokchoseong	HANGUL CHOSEONG NIEUN-KIYEOK
1114	ssangnieunchoseong	HANGUL CHOSEONG SSANGNIEUN
1115	nieuntikeutchoseong	HANGUL CHOSEONG NIEUN-TIKEUT
1116	nieunpieupchoseong	HANGUL CHOSEONG NIEUN-PIEUP
1117	tikeutkiyeokchoseong	HANGUL CHOSEONG TIKEUT-KIYEOK
1118	rieulnieunchoseong	HANGUL CHOSEONG RIEUL-NIEUN
1119	ssangrieulchoseong	HANGUL CHOSEONG SSANGRIEUL
111A	rieulhieuhchoseong	HANGUL CHOSEONG RIEUL-HIEUH
111B	kapyeounrieulchoseong	HANGUL CHOSEONG KAPYEOUNRIEUL
111C	mieumpieupchoseong	HANGUL CHOSEONG MIEUM-PIEUP
111D	kapyeounmieumchoseong	HANGUL CHOSEONG KAPYEOUNMIEUM
111E	pieupkiyeokchoseong	HANGUL CHOSEONG PIEUP-KIYEOK
111F	pieupnieunchoseong	HANGUL CHOSEONG PIEUP-NIEUN
1120	pieuptikeutchoseong	HANGUL CHOSEONG PIEUP-TIKEUT
1121	pieupsioschoseong	HANGUL CHOSEONG PIEUP-SIOS
1122	pieupsioskiyeokchoseong	HANGUL CHOSEONG PIEUP-SIOS-KIYEOK
1123	pieupsiostikeutchoseong	HANGUL CHOSEONG PIEUP-SIOS-TIKEUT
1124	pieupsiospieupchoseong	HANGUL CHOSEONG PIEUP-SIOS-PIEUP
1125	pieupssangsioschoseong	HANGUL CHOSEONG PIEUP-SSANGSIOS
1126	pieupsioscieucchoseong	HANGUL CHOSEONG PIEUP-SIOS-CIEUC
1127	pieupcieucchoseong	HANGUL CHOSEONG PIEUP-CIEUC
1128	pieupchieuchchoseong	HANGUL CHOSEONG PIEUP-CHIEUCH
1129	pieupthieuthchoseong	HANGUL CHOSEONG PIEUP-THIEUTH
112A	pieupphieuphchoseong	HANGUL CHOSEONG PIEUP-PHIEUPH
112B	kapyeounpieupchoseong	HANGUL CHOSEONG KAPYEOUNPIEUP
112C	kapyeounssangpieupchoseong	HANGUL CHOSEONG KAPYEOUNSSANGPIEUP
112D	sioskiyeokchoseong	HANGUL CHOSEONG SIOS-KIYEOK
112E	siosnieunchoseong	HANGUL CHOSEONG SIOS-NIEUN
112F	siostikeutchoseong	HANGUL CHOSEONG SIOS-TIKEUT
1130	siosrieulchoseong	HANGUL CHOSEONG SIOS-RIEUL
1131	siosmieumchoseong	HANGUL CHOSEONG SIOS-MIEUM
1132	siospieupchoseong	HANGUL CHOSEONG SIOS-PIEUP
1133	siospieupkiyeokchoseong	HANGUL CHOSEONG SIOS-PIEUP-KIYEOK
1134	siosssangsioschoseong	HANGUL CHOSEONG SIOS-SSANGSIOS
1135	siosieungchoseong	HANGUL CHOSEONG SIOS-IEUNG
1136	sioscieucchoseong	HANGUL CHOSEONG SIOS-CIEUC
1137	sioschieuchchoseong	HANGUL CHOSEONG SIOS-CHIEUCH
1138	sioskhieukhchoseong	HANGUL CHOSEONG SIOS-KHIEUKH
1139	siosthieuthchoseong	HANGUL CHOSEONG SIOS-THIEUTH
113A	siosphieuphchoseong	HANGUL CHOSEONG SIOS-PHIEUPH
113B	sioshieuhchoseong	HANGUL CHOSEONG SIOS-HIEUH
113C	chitueumsioschoseong	HANGUL CHOSEONG CHITUEUMSIOS
113D	chitueumssangsioschoseong	HANGUL CHOSEONG CHITUEUMSSANGSIOS
113E	ceongchieumsioschoseong	HANGUL CHOSEONG CEONGCHIEUMSIOS
113F	ceongchieumssangsioschoseong	HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS
1140	pansioschoseong	HANGUL CHOSEONG PANSIOS
1141	ieungkiyeokchoseong	HANGUL CHOSEONG IEUNG-KIYEOK
1142	ieungtikeutchoseong	HANGUL CHOSEONG IEUNG-TIKEUT
1143	ieungmieumchoseong	HANGUL CHOSEONG IEUNG-MIEUM
1144	ieungpieupchoseong	HANGUL CHOSEONG IEUNG-PIEUP
1145	ieungsioschoseong	HANGUL CHOSEONG IEUNG-SIOS
1146	ieungpansioschoseong	HANGUL CHOSEONG IEUNG-PANSIOS
1147	ssangieungchoseong	HANGUL CHOSEONG SSANGIEUNG
1148	ieungcieucchoseong	HANGUL CHOSEONG IEUNG-CIEUC
1149	ieungchieuchchoseong	HANGUL CHOSEONG IEUNG-CHIEUCH
114A	ieungthieuthchoseong	HANGUL CHOSEONG IEUNG-THIEUTH
114B	ieungphieuphchoseong	HANGUL CHOSEONG IEUNG-PHIEUPH
114C	yesieungchoseong	HANGUL CHOSEONG YESIEUNG
114D	cieucieungchoseong	HANGUL CHOSEONG CIEUC-IEUNG
114E	chitueumcieucchoseong	HANGUL CHOSEONG CHITUEUMCIEUC
114F	chitueumssangcieucchoseong	HANGUL CHOSEONG CHITUEUMSSANGCIEUC
1150	ceongchieumcieucchoseong	HANGUL CHOSEONG CEONGCHIEUMCIEUC
1151	ceongchieumssangcieucchoseong	HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC
1152	chieuchkhieukhchoseong	HANGUL CHOSEONG CHIEUCH-KHIEUKH
1153	chieuchhieuhchoseong	HANGUL CHOSEONG CHIEUCH-HIEUH
1154	chitueumchieuchchoseong	HANGUL CHOSEONG CHITUEUMCHIEUCH
1155	ceongchieumchieuchchoseong	HANGUL CHOSEONG CEONGCHIEUMCHIEUCH
1156	phieuphpieupchoseong	HANGUL CHOSEONG PHIEUPH-PIEUP
1157	kapyeounphieuphchoseong	HANGUL CHOSEONG KAPYEOUNPHIEUPH
1158	ssanghieuhchoseong	HANGUL CHOSEONG SSANGHIEUH
1159	yeorinhieuhchoseong	HANGUL CHOSEONG YEORINHIEUH
115A	kiyeoktikeutchoseong	HANGUL CHOSEONG KIYEOK-TIKEUT
115B	nieunsioschoseong	HANGUL CHOSEONG NIEUN-SIOS
115C	nieuncieucchoseong	HANGUL CHOSEONG NIEUN-CIEUC
115D	nieunhieuhchoseong	HANGUL CHOSEONG NIEUN-HIEUH
115E	tikeutrieulchoseong	HANGUL CHOSEONG TIKEUT-RIEUL
115F	fillerchoseong	HANGUL CHOSEONG FILLER
1160	fillerjungseong	HANGUL JUNGSEONG FILLER
1161	ajungseong	HANGUL JUNGSEONG A
1162	aejungseong	HANGUL JUNGSEONG AE
1163	yajungseong	HANGUL JUNGSEONG YA
1164	yaejungseong	HANGUL JUNGSEONG YAE
1165	eojungseong	HANGUL JUNGSEONG EO
1166	ejungseong	HANGUL JUNGSEONG E
1167	yeojungseong	HANGUL JUNGSEONG YEO
1168	yejungseong	HANGUL JUNGSEONG YE
1169	ojungseong	HANGUL JUNGSEONG O
116A	wajungseong	HANGUL JUNGSEONG WA
116B	waejungseong	HANGUL JUNGSEONG WAE
116C	oejungseong	HANGUL JUNGSEONG OE
116D	yojungseong	HANGUL JUNGSEONG YO
116E	ujungseong	HANGUL JUNGSEONG U
116F	weojungseong	HANGUL JUNGSEONG WEO
1170	wejungseong	HANGUL JUNGSEONG WE
1171	wijungseong	HANGUL JUNGSEONG WI
1172	yujungseong	HANGUL JUNGSEONG YU
1173	eujungseong	HANGUL JUNGSEONG EU
1174	yijungseong	HANGUL JUNGSEONG YI
1175	ijungseong	HANGUL JUNGSEONG I
1176	aojungseong	HANGUL JUNGSEONG A-O
1177	aujungseong	HANGUL JUNGSEONG A-U
1178	yaojungseong	HANGUL JUNGSEONG YA-O
1179	yayojungseong	HANGUL JUNGSEONG YA-YO
117A	eoojungseong	HANGUL JUNGSEONG EO-O
117B	eoujungseong	HANGUL JUNGSEONG EO-U
117C	eo_eujungseong	HANGUL JUNGSEONG EO-EU
117D	yeoojungseong	HANGUL JUNGSEONG YEO-O
117E	yeoujungseong	HANGUL JUNGSEONG YEO-U
117F	o_eojungseong	HANGUL JUNGSEONG O-EO
1180	o_ejungseong	HANGUL JUNGSEONG O-E
1181	oyejungseong	HANGUL JUNGSEONG O-YE
1182	oojungseong	HANGUL JUNGSEONG O-O
1183	oujungseong	HANGUL JUNGSEONG O-U
1184	yoyajungseong	HANGUL JUNGSEONG YO-YA
1185	yoyaejungseong	HANGUL JUNGSEONG YO-YAE
1186	yoyeojungseong	HANGUL JUNGSEONG YO-YEO
1187	yoojungseong	HANGUL JUNGSEONG YO-O
1188	yoijungseong	HANGUL JUNGSEONG YO-I
1189	uajungseong	HANGUL JUNGSEONG U-A
118A	uaejungseong	HANGUL JUNGSEONG U-AE
118B	ueo_eujungseong	HANGUL JUNGSEONG U-EO-EU
118C	uyejungseong	HANGUL JUNGSEONG U-YE
118D	uujungseong	HANGUL JUNGSEONG U-U
118E	yuajungseong	HANGUL JUNGSEONG YU-A
118F	yueojungseong	HANGUL JUNGSEONG YU-EO
1190	yuejungseong	HANGUL JUNGSEONG YU-E
1191	yuyeojungseong	HANGUL JUNGSEONG YU-YEO
1192	yuyejungseong	HANGUL JUNGSEONG YU-YE
1193	yuujungseong	HANGUL JUNGSEONG YU-U
1194	yuijungseong	HANGUL JUNGSEONG YU-I
1195	euujungseong	HANGUL JUNGSEONG EU-U
1196	eueujungseong	HANGUL JUNGSEONG EU-EU
1197	yiujungseong	HANGUL JUNGSEONG YI-U
1198	iajungseong	HANGUL JUNGSEONG I-A
1199	iyajungseong	HANGUL JUNGSEONG I-YA
119A	iojungseong	HANGUL JUNGSEONG I-O
119B	iujungseong	HANGUL JUNGSEONG I-U
119C	ieujungseong	HANGUL JUNGSEONG I-EU
119D	iaraeajungseong	HANGUL JUNGSEONG I-ARAEA
119E	araeajungseong	HANGUL JUNGSEONG ARAEA
119F	araeaeojungseong	HANGUL JUNGSEONG ARAEA-EO
11A0	araeaujungseong	HANGUL JUNGSEONG ARAEA-U
11A1	araeaijungseong	HANGUL JUNGSEONG ARAEA-I
11A2	ssangaraeajungseong	HANGUL JUNGSEONG SSANGARAEA
11A3	aeujungseong	HANGUL JUNGSEONG A-EU
11A4	yaujungseong	HANGUL JUNGSEONG YA-U
11A5	yeoyajungseong	HANGUL JUNGSEONG YEO-YA
11A6	oyajungseong	HANGUL JUNGSEONG O-YA
11A7	oyaejungseong	HANGUL JUNGSEONG O-YAE
11A8	kiyeokjongseong	HANGUL JONGSEONG KIYEOK
11A9	ssangkiyeokjongseong	HANGUL JONGSEONG SSANGKIYEOK
11AA	kiyeoksiosjongseong	HANGUL JONGSEONG KIYEOK-SIOS
11AB	nieunjongseong	HANGUL JONGSEONG NIEUN
11AC	nieuncieucjongseong	HANGUL JONGSEONG NIEUN-CIEUC
11AD	nieunhieuhjongseong	HANGUL JONGSEONG NIEUN-HIEUH
11AE	tikeutjongseong	HANGUL JONGSEONG TIKEUT
11AF	rieuljongseong	HANGUL JONGSEONG RIEUL
11B0	rieulkiyeokjongseong	HANGUL JONGSEONG RIEUL-KIYEOK
