# Hebrew 0590 - 05FF
0591	etnahtaaccent	HEBREW ACCENT ETNAHTA
0592	segolaccent	HEBREW ACCENT SEGOL
0593	shalsheletaccent	HEBREW ACCENT SHALSHELET
0594	zaqefqatanaccent	HEBREW ACCENT ZAQEF QATAN
0595	zaqefgadolaccent	HEBREW ACCENT ZAQEF GADOL
0596	tipehaaccent	HEBREW ACCENT TIPEHA
0597	reviaaccent	HEBREW ACCENT REVIA
0598	zarqaaccent	HEBREW ACCENT ZARQA
0599	pashtaaccent	HEBREW ACCENT PASHTA
059A	yetivaccent	HEBREW ACCENT YETIV
059B	teviraccent	HEBREW ACCENT TEVIR
059C	gereshaccent	HEBREW ACCENT GERESH
059D	gereshmuqdamaccent	HEBREW ACCENT GERESH MUQDAM
059E	gershayimaccent	HEBREW ACCENT GERSHAYIM
059F	qarneyparaaccent	HEBREW ACCENT QARNEY PARA
05A0	telishagedolaaccent	HEBREW ACCENT TELISHA GEDOLA
05A1	pazeraccent	HEBREW ACCENT PAZER
05A2	atnahhafukhaccent	HEBREW ACCENT ATNAH HAFUKH
05A3	munahaccent	HEBREW ACCENT MUNAH
05A4	mahapakhaccent	HEBREW ACCENT MAHAPAKH
05A5	merkhaaccent	HEBREW ACCENT MERKHA
05A6	merkhakefulaaccent	HEBREW ACCENT MERKHA KEFULA
05A7	dargaaccent	HEBREW ACCENT DARGA
05A8	qadmaaccent	HEBREW ACCENT QADMA
05A9	telishaqetanaaccent	HEBREW ACCENT TELISHA QETANA
05AA	yerahbenyomoaccent	HEBREW ACCENT YERAH BEN YOMO
05AB	oleaccent	HEBREW ACCENT OLE
05AC	iluyaccent	HEBREW ACCENT ILUY
05AD	dehiaccent	HEBREW ACCENT DEHI
05AE	zinoraccent	HEBREW ACCENT ZINOR
05AF	markmasoracircle	HEBREW MARK MASORA CIRCLE
05B0	shevapt	HEBREW POINT SHEVA
05B1	hatafsegolpt	HEBREW POINT HATAF SEGOL
05B2	hatafpatahpt	HEBREW POINT HATAF PATAH
05B3	hatafqamatspt	HEBREW POINT HATAF QAMATS
05B4	hiriqpt	HEBREW POINT HIRIQ
05B5	tserept	HEBREW POINT TSERE
05B6	segolpt	HEBREW POINT SEGOL
05B7	patahpt	HEBREW POINT PATAH
05B8	qamatspt	HEBREW POINT QAMATS
05B9	holampt	HEBREW POINT HOLAM
05BA	holamhaserforvavpt	HEBREW POINT HOLAM HASER FOR VAV
05BB	qubutspt	HEBREW POINT QUBUTS
05BC	dageshormapiqpt	HEBREW POINT DAGESH OR MAPIQ
05BD	metegpt	HEBREW POINT METEG
05BE	maqaf	HEBREW PUNCTUATION MAQAF
05BF	rafept	HEBREW POINT RAFE
05C0	paseq	HEBREW PUNCTUATION PASEQ
05C1	shindotpt	HEBREW POINT SHIN DOT
05C2	sindotpt	HEBREW POINT SIN DOT
05C3	sofpasuq	HEBREW PUNCTUATION SOF PASUQ
05C4	dotupper	HEBREW MARK UPPER DOT
05C5	dotlower	HEBREW MARK LOWER DOT
05C6	nunhafukha	HEBREW PUNCTUATION NUN HAFUKHA
05C7	qamatsqatanpt	HEBREW POINT QAMATS QATAN
05D0	hb-alef	HEBREW LETTER ALEF
05D1	hb-bet	HEBREW LETTER BET
05D2	hb-gimel	HEBREW LETTER GIMEL
05D3	hb-dalet	HEBREW LETTER DALET
05D4	he	HEBREW LETTER HE
05D5	vav	HEBREW LETTER VAV
05D6	zayin	HEBREW LETTER ZAYIN
05D7	het	HEBREW LETTER HET
05D8	tet	HEBREW LETTER TET
05D9	yod	HEBREW LETTER YOD
05DA	hb-kaf.fina	HEBREW LETTER FINAL KAF
05DB	hb-kaf	HEBREW LETTER KAF
05DC	lamed	HEBREW LETTER LAMED
05DD	mem.fina	HEBREW LETTER FINAL MEM
05DE	mem	HEBREW LETTER MEM
05DF	nun.fina	HEBREW LETTER FINAL NUN
05E0	nun	HEBREW LETTER NUN
05E1	samekh	HEBREW LETTER SAMEKH
05E2	ayin	HEBREW LETTER AYIN
05E3	pe.fina	HEBREW LETTER FINAL PE
05E4	hb-pe	HEBREW LETTER PE
05E5	tsadi.fina	HEBREW LETTER FINAL TSADI
05E6	tsadi	HEBREW LETTER TSADI
05E7	qof	HEBREW LETTER QOF
05E8	resh	HEBREW LETTER RESH
05E9	shin	HEBREW LETTER SHIN
05EA	tav	HEBREW LETTER TAV
05F0	vav_vav	HEBREW LIGATURE YIDDISH DOUBLE VAV
05F1	vav_yod	HEBREW LIGATURE YIDDISH VAV YOD
05F2	yod_yod	HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3	geresh	HEBREW PUNCTUATION GERESH
05F4	gershayim	HEBREW PUNCTUATION GERSHAYIM
