# Hiragana 3040 - 309F
3041	hi-asmall	HIRAGANA LETTER SMALL A
3042	hi-a	HIRAGANA LETTER A
3043	hi-ismall	HIRAGANA LETTER SMALL I
3044	hi-i	HIRAGANA LETTER I
3045	hi-usmall	HIRAGANA LETTER SMALL U
3046	hi-u	HIRAGANA LETTER U
3047	hi-esmall	HIRAGANA LETTER SMALL E
3048	hi-e	HIRAGANA LETTER E
3049	hi-osmall	HIRAGANA LETTER SMALL O
304A	hi-o	HIRAGANA LETTER O
304B	hi-ka	HIRAGANA LETTER KA
304C	hi-ga	HIRAGANA LETTER GA
304D	hi-ki	HIRAGANA LETTER KI
304E	hi-gi	HIRAGANA LETTER GI
304F	hi-ku	HIRAGANA LETTER KU
3050	hi-gu	HIRAGANA LETTER GU
3051	hi-ke	HIRAGANA LETTER KE
3052	hi-ge	HIRAGANA LETTER GE
3053	hi-ko	HIRAGANA LETTER KO
3054	hi-go	HIRAGANA LETTER GO
3055	hi-sa	HIRAGANA LETTER SA
3056	hi-za	HIRAGANA LETTER ZA
3057	hi-si	HIRAGANA LETTER SI
3058	hi-zi	HIRAGANA LETTER ZI
3059	hi-su	HIRAGANA LETTER SU
305A	hi-zu	HIRAGANA LETTER ZU
305B	hi-se	HIRAGANA LETTER SE
305C	hi-ze	HIRAGANA LETTER ZE
305D	hi-so	HIRAGANA LETTER SO
305E	hi-zo	HIRAGANA LETTER ZO
305F	hi-ta	HIRAGANA LETTER TA
3060	hi-da	HIRAGANA LETTER DA
3061	hi-ti	HIRAGANA LETTER TI
3062	hi-di	HIRAGANA LETTER DI
3063	hi-tusmall	HIRAGANA LETTER SMALL TU
3064	hi-tu	HIRAGANA LETTER TU
3065	hi-du	HIRAGANA LETTER DU
3066	hi-te	HIRAGANA LETTER TE
3067	hi-de	HIRAGANA LETTER DE
3068	hi-to	HIRAGANA LETTER TO
3069	hi-do	HIRAGANA LETTER DO
306A	hi-na	HIRAGANA LETTER NA
306B	hi-ni	HIRAGANA LETTER NI
306C	hi-nu	HIRAGANA LETTER NU
306D	hi-ne	HIRAGANA LETTER NE
306E	hi-no	HIRAGANA LETTER NO
306F	hi-ha	HIRAGANA LETTER HA
3070	hi-ba	HIRAGANA LETTER BA
3071	hi-pa	HIRAGANA LETTER PA
3072	hi-hi	HIRAGANA LETTER HI
3073	hi-bi	HIRAGANA LETTER BI
3074	hi-pi	HIRAGANA LETTER PI
3075	hi-hu	HIRAGANA LETTER HU
3076	hi-bu	HIRAGANA LETTER BU
3077	hi-pu	HIRAGANA LETTER PU
3078	hi-he	HIRAGANA LETTER HE
3079	hi-be	HIRAGANA LETTER BE
307A	hi-pe	HIRAGANA LETTER PE
307B	hi-ho	HIRAGANA LETTER HO
307C	hi-bo	HIRAGANA LETTER BO
307D	hi-po	HIRAGANA LETTER PO
307E	hi-ma	HIRAGANA LETTER MA
307F	hi-mi	HIRAGANA LETTER MI
3080	hi-mu	HIRAGANA LETTER MU
3081	hi-me	HIRAGANA LETTER ME
3082	hi-mo	HIRAGANA LETTER MO
3083	hi-yasmall	HIRAGANA LETTER SMALL YA
3084	hi-ya	HIRAGANA LETTER YA
3085	hi-yusmall	HIRAGANA LETTER SMALL YU
3086	hi-yu	HIRAGANA LETTER YU
3087	hi-yosmall	HIRAGANA LETTER SMALL YO
3088	hi-yo	HIRAGANA LETTER YO
3089	hi-ra	HIRAGANA LETTER RA
308A	hi-ri	HIRAGANA LETTER RI
308B	hi-ru	HIRAGANA LETTER RU
308C	hi-re	HIRAGANA LETTER RE
308D	hi-ro	HIRAGANA LETTER RO
308E	hi-wasmall	HIRAGANA LETTER SMALL WA
308F	hi-wa	HIRAGANA LETTER WA
3090	hi-wi	HIRAGANA LETTER WI
3091	hi-we	HIRAGANA LETTER WE
3092	hi-wo	HIRAGANA LETTER WO
3093	hi-n	HIRAGANA LETTER N
3094	hi-vu	HIRAGANA LETTER VU
3095	hi-kasmall	HIRAGANA LETTER SMALL KA
3096	hi-kesmall	HIRAGANA LETTER SMALL KE
3099	hi-voicedmarkkanacmb	COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK
309A	hi-semivoicedmarkkanacmb	COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
309B	hi-voicedmarkkana	KATAKANA-HIRAGANA VOICED SOUND MARK
309C	hi-semivoicedmarkkana	KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
309D	hi-iterationhiragana	HIRAGANA ITERATION MARK
309E	hi-voicediterationhiragana	HIRAGANA VOICED ITERATION MARK
309F	hi-digraph yori	HIRAGANA DIGRAPH YORI
