# Javanese A980 - A9DF
A980	panyangga	JAVANESE SIGN PANYANGGA
A981	cecak	JAVANESE SIGN CECAK
A982	layar	JAVANESE SIGN LAYAR
A983	wignyan	JAVANESE SIGN WIGNYAN
A984	ja-a	JAVANESE LETTER A
A985	ikawi	JAVANESE LETTER I KAWI
A986	ja-i	JAVANESE LETTER I
A987	ja-ii	JAVANESE LETTER II
A988	ja-u	JAVANESE LETTER U
A989	pacerek	JAVANESE LETTER PA CEREK
A98A	ngalelet	JAVANESE LETTER NGA LELET
A98B	ngaleletraswadi	JAVANESE LETTER NGA LELET RASWADI
A98C	ja-e	JAVANESE LETTER E
A98D	ja-ai	JAVANESE LETTER AI
A98E	ja-o	JAVANESE LETTER O
A98F	ja-ka	JAVANESE LETTER KA
A990	kasasak	JAVANESE LETTER KA SASAK
A991	kamurda	JAVANESE LETTER KA MURDA
A992	ja-ga	JAVANESE LETTER GA
A993	gamurda	JAVANESE LETTER GA MURDA
A994	ja-nga	JAVANESE LETTER NGA
A995	ja-ca	JAVANESE LETTER CA
A996	camurda	JAVANESE LETTER CA MURDA
A997	ja-ja	JAVANESE LETTER JA
A998	nyamurda	JAVANESE LETTER NYA MURDA
A999	jamahaprana	JAVANESE LETTER JA MAHAPRANA
A99A	ja-nya	JAVANESE LETTER NYA
A99B	ja-tta	JAVANESE LETTER TTA
A99C	ttamahaprana	JAVANESE LETTER TTA MAHAPRANA
A99D	ja-dda	JAVANESE LETTER DDA
A99E	ddamahaprana	JAVANESE LETTER DDA MAHAPRANA
A99F	namurda	JAVANESE LETTER NA MURDA
A9A0	ja-ta	JAVANESE LETTER TA
A9A1	tamurda	JAVANESE LETTER TA MURDA
A9A2	ja-da	JAVANESE LETTER DA
A9A3	damahaprana	JAVANESE LETTER DA MAHAPRANA
A9A4	ja-na	JAVANESE LETTER NA
A9A5	ja-pa	JAVANESE LETTER PA
A9A6	pamurda	JAVANESE LETTER PA MURDA
A9A7	ja-ba	JAVANESE LETTER BA
A9A8	bamurda	JAVANESE LETTER BA MURDA
A9A9	ja-ma	JAVANESE LETTER MA
A9AA	ja-ya	JAVANESE LETTER YA
A9AB	ja-ra	JAVANESE LETTER RA
A9AC	raagung	JAVANESE LETTER RA AGUNG
A9AD	ja-la	JAVANESE LETTER LA
A9AE	ja-wa	JAVANESE LETTER WA
A9AF	samurda	JAVANESE LETTER SA MURDA
A9B0	samahaprana	JAVANESE LETTER SA MAHAPRANA
A9B1	ja-sa	JAVANESE LETTER SA
A9B2	ja-ha	JAVANESE LETTER HA
A9B3	cecaktelu	JAVANESE SIGN CECAK TELU
A9B4	tarungvowel	JAVANESE VOWEL SIGN TARUNG
A9B5	tolongvowel	JAVANESE VOWEL SIGN TOLONG
A9B6	wuluvowel	JAVANESE VOWEL SIGN WULU
A9B7	wulumelikvowel	JAVANESE VOWEL SIGN WULU MELIK
A9B8	sukuvowel	JAVANESE VOWEL SIGN SUKU
A9B9	sukumendutvowel	JAVANESE VOWEL SIGN SUKU MENDUT
A9BA	talingvowel	JAVANESE VOWEL SIGN TALING
A9BB	dirgamurevowel	JAVANESE VOWEL SIGN DIRGA MURE
A9BC	pepetvowel	JAVANESE VOWEL SIGN PEPET
A9BD	keretconsonant	JAVANESE CONSONANT SIGN KERET
A9BE	pengkalconsonant	JAVANESE CONSONANT SIGN PENGKAL
A9BF	cakraconsonant	JAVANESE CONSONANT SIGN CAKRA
A9C0	pangkon	JAVANESE PANGKON
A9C1	rerengganleft	JAVANESE LEFT RERENGGAN
A9C2	rerengganright	JAVANESE RIGHT RERENGGAN
A9C3	andappada	JAVANESE PADA ANDAP
A9C4	madyapada	JAVANESE PADA MADYA
A9C5	luhurpada	JAVANESE PADA LUHUR
A9C6	windupada	JAVANESE PADA WINDU
A9C7	pangkatpada	JAVANESE PADA PANGKAT
A9C8	lingsapada	JAVANESE PADA LINGSA
A9C9	lungsipada	JAVANESE PADA LUNGSI
A9CA	adegpada	JAVANESE PADA ADEG
A9CB	adegadegpada	JAVANESE PADA ADEG ADEG
A9CC	piselehpada	JAVANESE PADA PISELEH
A9CD	turnedpiselehpada	JAVANESE TURNED PADA PISELEH
A9CF	pangrangkep	JAVANESE PANGRANGKEP
A9D0	ja-zero	JAVANESE DIGIT ZERO
A9D1	ja-one	JAVANESE DIGIT ONE
A9D2	ja-two	JAVANESE DIGIT TWO
A9D3	ja-three	JAVANESE DIGIT THREE
A9D4	ja-four	JAVANESE DIGIT FOUR
A9D5	ja-five	JAVANESE DIGIT FIVE
A9D6	ja-six	JAVANESE DIGIT SIX
A9D7	ja-seven	JAVANESE DIGIT SEVEN
A9D8	ja-eight	JAVANESE DIGIT EIGHT
A9D9	ja-nine	JAVANESE DIGIT NINE
A9DE	tirtatumetespada	JAVANESE PADA TIRTA TUMETES
A9DF	isen-isenpada	JAVANESE PADA ISEN-ISEN
