# Kannada 0C80 - 0CFF
0C82	kn-anusvara	KANNADA SIGN ANUSVARA
0C83	kn-visarga	KANNADA SIGN VISARGA
0C85	kn-a	KANNADA LETTER A
0C86	kn-aa	KANNADA LETTER AA
0C87	kn-i	KANNADA LETTER I
0C88	kn-ii	KANNADA LETTER II
0C89	kn-u	KANNADA LETTER U
0C8A	kn-uu	KANNADA LETTER UU
0C8B	kn-rvocal	KANNADA LETTER VOCALIC R
0C8C	kn-lvocal	KANNADA LETTER VOCALIC L
0C8E	kn-e	KANNADA LETTER E
0C8F	kn-ee	KANNADA LETTER EE
0C90	kn-ai	KANNADA LETTER AI
0C92	kn-o	KANNADA LETTER O
0C93	kn-oo	KANNADA LETTER OO
0C94	kn-au	KANNADA LETTER AU
0C95	kn-ka	KANNADA LETTER KA
0C96	kn-kha	KANNADA LETTER KHA
0C97	kn-ga	KANNADA LETTER GA
0C98	kn-gha	KANNADA LETTER GHA
0C99	kn-nga	KANNADA LETTER NGA
0C9A	kn-ca	KANNADA LETTER CA
0C9B	kn-cha	KANNADA LETTER CHA
0C9C	kn-ja	KANNADA LETTER JA
0C9D	kn-jha	KANNADA LETTER JHA
0C9E	kn-nya	KANNADA LETTER NYA
0C9F	kn-tta	KANNADA LETTER TTA
0CA0	kn-ttha	KANNADA LETTER TTHA
0CA1	kn-dda	KANNADA LETTER DDA
0CA2	kn-ddha	KANNADA LETTER DDHA
0CA3	kn-nna	KANNADA LETTER NNA
0CA4	kn-ta	KANNADA LETTER TA
0CA5	kn-tha	KANNADA LETTER THA
0CA6	kn-da	KANNADA LETTER DA
0CA7	kn-dha	KANNADA LETTER DHA
0CA8	kn-na	KANNADA LETTER NA
0CAA	kn-pa	KANNADA LETTER PA
0CAB	kn-pha	KANNADA LETTER PHA
0CAC	kn-ba	KANNADA LETTER BA
0CAD	kn-bha	KANNADA LETTER BHA
0CAE	kn-ma	KANNADA LETTER MA
0CAF	kn-ya	KANNADA LETTER YA
0CB0	kn-ra	KANNADA LETTER RA
0CB1	kn-rra	KANNADA LETTER RRA
0CB2	kn-la	KANNADA LETTER LA
0CB3	kn-lla	KANNADA LETTER LLA
0CB5	kn-va	KANNADA LETTER VA
0CB6	kn-sha	KANNADA LETTER SHA
0CB7	kn-ssa	KANNADA LETTER SSA
0CB8	kn-sa	KANNADA LETTER SA
0CB9	kn-ha	KANNADA LETTER HA
0CBC	kn-nukta	KANNADA SIGN NUKTA
0CBD	kn-avagraha	KANNADA SIGN AVAGRAHA
0CBE	kn-aasign	KANNADA VOWEL SIGN AA
0CBF	kn-isign	KANNADA VOWEL SIGN I
0CC0	kn-iisign	KANNADA VOWEL SIGN II
0CC1	kn-usign	KANNADA VOWEL SIGN U
0CC2	kn-uusign	KANNADA VOWEL SIGN UU
0CC3	kn-rvocalsign	KANNADA VOWEL SIGN VOCALIC R
0CC4	kn-rrvocalsign	KANNADA VOWEL SIGN VOCALIC RR
0CC6	kn-esign	KANNADA VOWEL SIGN E
0CC7	kn-eesign	KANNADA VOWEL SIGN EE
0CC8	kn-aisign	KANNADA VOWEL SIGN AI
0CCA	kn-osign	KANNADA VOWEL SIGN O
0CCB	kn-oosign	KANNADA VOWEL SIGN OO
0CCC	kn-ausign	KANNADA VOWEL SIGN AU
0CCD	kn-virama	KANNADA SIGN VIRAMA
0CD5	kn-length	KANNADA LENGTH MARK
0CD6	kn-ailength	KANNADA AI LENGTH MARK
0CDE	kn-fa	KANNADA LETTER FA
0CE0	kn-rrvocal	KANNADA LETTER VOCALIC RR
0CE1	kn-llvocal	KANNADA LETTER VOCALIC LL
0CE2	kn-lvocalsign	KANNADA VOWEL SIGN VOCALIC L
0CE3	kn-llvocalsign	KANNADA VOWEL SIGN VOCALIC LL
0CE6	kn-zero	KANNADA DIGIT ZERO
0CE7	kn-one	KANNADA DIGIT ONE
0CE8	kn-two	KANNADA DIGIT TWO
0CE9	kn-three	KANNADA DIGIT THREE
0CEA	kn-four	KANNADA DIGIT FOUR
0CEB	kn-five	KANNADA DIGIT FIVE
0CEC	kn-six	KANNADA DIGIT SIX
0CED	kn-seven	KANNADA DIGIT SEVEN
0CEE	kn-eight	KANNADA DIGIT EIGHT
0CEF	kn-nine	KANNADA DIGIT NINE
0CF1	kn-jihvamuliya	KANNADA SIGN JIHVAMULIYA
0CF2	kn-upadhmaniya	KANNADA SIGN UPADHMANIYA
