# Katakana 30A0 - 30FF
30A0	ka-doublehyphenkana	KATAKANA-HIRAGANA DOUBLE HYPHEN
30A1	ka-asmall	KATAKANA LETTER SMALL A
30A2	ka-a	KATAKANA LETTER A
30A3	ka-ismall	KATAKANA LETTER SMALL I
30A4	ka-i	KATAKANA LETTER I
30A5	ka-usmall	KATAKANA LETTER SMALL U
30A6	ka-u	KATAKANA LETTER U
30A7	ka-esmall	KATAKANA LETTER SMALL E
30A8	ka-e	KATAKANA LETTER E
30A9	ka-osmall	KATAKANA LETTER SMALL O
30AA	ka-o	KATAKANA LETTER O
30AB	ka-ka	KATAKANA LETTER KA
30AC	ka-ga	KATAKANA LETTER GA
30AD	ka-ki	KATAKANA LETTER KI
30AE	ka-gi	KATAKANA LETTER GI
30AF	ka-ku	KATAKANA LETTER KU
30B0	ka-gu	KATAKANA LETTER GU
30B1	ka-ke	KATAKANA LETTER KE
30B2	ka-ge	KATAKANA LETTER GE
30B3	ka-ko	KATAKANA LETTER KO
30B4	ka-go	KATAKANA LETTER GO
30B5	ka-sa	KATAKANA LETTER SA
30B6	ka-za	KATAKANA LETTER ZA
30B7	ka-si	KATAKANA LETTER SI
30B8	ka-zi	KATAKANA LETTER ZI
30B9	ka-su	KATAKANA LETTER SU
30BA	ka-zu	KATAKANA LETTER ZU
30BB	ka-se	KATAKANA LETTER SE
30BC	ka-ze	KATAKANA LETTER ZE
30BD	ka-so	KATAKANA LETTER SO
30BE	ka-zo	KATAKANA LETTER ZO
30BF	ka-ta	KATAKANA LETTER TA
30C0	ka-da	KATAKANA LETTER DA
30C1	ka-ti	KATAKANA LETTER TI
30C2	ka-di	KATAKANA LETTER DI
30C3	ka-tusmall	KATAKANA LETTER SMALL TU
30C4	ka-tu	KATAKANA LETTER TU
30C5	ka-du	KATAKANA LETTER DU
30C6	ka-te	KATAKANA LETTER TE
30C7	ka-de	KATAKANA LETTER DE
30C8	ka-to	KATAKANA LETTER TO
30C9	ka-do	KATAKANA LETTER DO
30CA	ka-na	KATAKANA LETTER NA
30CB	ka-ni	KATAKANA LETTER NI
30CC	ka-nu	KATAKANA LETTER NU
30CD	ka-ne	KATAKANA LETTER NE
30CE	ka-no	KATAKANA LETTER NO
30CF	ka-ha	KATAKANA LETTER HA
30D0	ka-ba	KATAKANA LETTER BA
30D1	ka-pa	KATAKANA LETTER PA
30D2	ka-hi	KATAKANA LETTER HI
30D3	ka-bi	KATAKANA LETTER BI
30D4	ka-pi	KATAKANA LETTER PI
30D5	ka-hu	KATAKANA LETTER HU
30D6	ka-bu	KATAKANA LETTER BU
30D7	ka-pu	KATAKANA LETTER PU
30D8	ka-he	KATAKANA LETTER HE
30D9	ka-be	KATAKANA LETTER BE
30DA	ka-pe	KATAKANA LETTER PE
30DB	ka-ho	KATAKANA LETTER HO
30DC	ka-bo	KATAKANA LETTER BO
30DD	ka-po	KATAKANA LETTER PO
30DE	ka-ma	KATAKANA LETTER MA
30DF	ka-mi	KATAKANA LETTER MI
30E0	ka-mu	KATAKANA LETTER MU
30E1	ka-me	KATAKANA LETTER ME
30E2	ka-mo	KATAKANA LETTER MO
30E3	ka-yasmall	KATAKANA LETTER SMALL YA
30E4	ka-ya	KATAKANA LETTER YA
30E5	ka-yusmall	KATAKANA LETTER SMALL YU
30E6	ka-yu	KATAKANA LETTER YU
30E7	ka-yosmall	KATAKANA LETTER SMALL YO
30E8	ka-yo	KATAKANA LETTER YO
30E9	ka-ra	KATAKANA LETTER RA
30EA	ka-ri	KATAKANA LETTER RI
30EB	ka-ru	KATAKANA LETTER RU
30EC	ka-re	KATAKANA LETTER RE
30ED	ka-ro	KATAKANA LETTER RO
30EE	ka-wasmall	KATAKANA LETTER SMALL WA
30EF	ka-wa	KATAKANA LETTER WA
30F0	ka-wi	KATAKANA LETTER WI
30F1	ka-we	KATAKANA LETTER WE
30F2	ka-wo	KATAKANA LETTER WO
30F3	ka-n	KATAKANA LETTER N
30F4	ka-vu	KATAKANA LETTER VU
30F5	ka-kasmall	KATAKANA LETTER SMALL KA
30F6	ka-kesmall	KATAKANA LETTER SMALL KE
30F7	ka-va	KATAKANA LETTER VA
30F8	ka-vi	KATAKANA LETTER VI
30F9	ka-ve	KATAKANA LETTER VE
30FA	ka-vo	KATAKANA LETTER VO
30FB	ka-middledot	KATAKANA MIDDLE DOT
30FC	ka-prolongedkana	KATAKANA-HIRAGANA PROLONGED SOUND MARK
30FD	ka-iteration	KATAKANA ITERATION MARK
30FE	ka-voicediteration	KATAKANA VOICED ITERATION MARK
30FF	ka-digraphkoto	KATAKANA DIGRAPH KOTO
