# Malayalam 0D00 - 0D7F
0D02	anusvarasign	MALAYALAM SIGN ANUSVARA
0D03	visargasign	MALAYALAM SIGN VISARGA
0D05	ma-a	MALAYALAM LETTER A
0D06	ma-aa	MALAYALAM LETTER AA
0D07	ma-i	MALAYALAM LETTER I
0D08	ma-ii	MALAYALAM LETTER II
0D09	ma-u	MALAYALAM LETTER U
0D0A	ma-uu	MALAYALAM LETTER UU
0D0B	ma-rvocal	MALAYALAM LETTER VOCALIC R
0D0C	ma-lvocal	MALAYALAM LETTER VOCALIC L
0D0E	ma-e	MALAYALAM LETTER E
0D0F	ma-ee	MALAYALAM LETTER EE
0D10	ma-ai	MALAYALAM LETTER AI
0D12	ma-o	MALAYALAM LETTER O
0D13	ma-oo	MALAYALAM LETTER OO
0D14	ma-au	MALAYALAM LETTER AU
0D15	ma-ka	MALAYALAM LETTER KA
0D16	ma-kha	MALAYALAM LETTER KHA
0D17	ma-ga	MALAYALAM LETTER GA
0D18	ma-gha	MALAYALAM LETTER GHA
0D19	ma-nga	MALAYALAM LETTER NGA
0D1A	ma-ca	MALAYALAM LETTER CA
0D1B	ma-cha	MALAYALAM LETTER CHA
0D1C	ma-ja	MALAYALAM LETTER JA
0D1D	ma-jha	MALAYALAM LETTER JHA
0D1E	ma-nya	MALAYALAM LETTER NYA
0D1F	ma-tta	MALAYALAM LETTER TTA
0D20	ma-ttha	MALAYALAM LETTER TTHA
0D21	ma-dda	MALAYALAM LETTER DDA
0D22	ma-ddha	MALAYALAM LETTER DDHA
0D23	ma-nna	MALAYALAM LETTER NNA
0D24	ma-ta	MALAYALAM LETTER TA
0D25	ma-tha	MALAYALAM LETTER THA
0D26	ma-da	MALAYALAM LETTER DA
0D27	ma-dha	MALAYALAM LETTER DHA
0D28	ma-na	MALAYALAM LETTER NA
0D2A	ma-pa	MALAYALAM LETTER PA
0D2B	ma-pha	MALAYALAM LETTER PHA
0D2C	ma-ba	MALAYALAM LETTER BA
0D2D	ma-bha	MALAYALAM LETTER BHA
0D2E	ma-ma	MALAYALAM LETTER MA
0D2F	ma-ya	MALAYALAM LETTER YA
0D30	ma-ra	MALAYALAM LETTER RA
0D31	ma-rra	MALAYALAM LETTER RRA
0D32	ma-la	MALAYALAM LETTER LA
0D33	ma-lla	MALAYALAM LETTER LLA
0D34	ma-llla	MALAYALAM LETTER LLLA
0D35	ma-va	MALAYALAM LETTER VA
0D36	ma-sha	MALAYALAM LETTER SHA
0D37	ma-ssa	MALAYALAM LETTER SSA
0D38	ma-sa	MALAYALAM LETTER SA
0D39	ma-ha	MALAYALAM LETTER HA
0D3D	avagrahasign	MALAYALAM SIGN AVAGRAHA
0D3E	ma-aasign	MALAYALAM VOWEL SIGN AA
0D3F	ma-isign	MALAYALAM VOWEL SIGN I
0D40	ma-iisign	MALAYALAM VOWEL SIGN II
0D41	ma-usign	MALAYALAM VOWEL SIGN U
0D42	ma-uusign	MALAYALAM VOWEL SIGN UU
0D43	ma-rvocalsign	MALAYALAM VOWEL SIGN VOCALIC R
0D44	ma-rrvocalsign	MALAYALAM VOWEL SIGN VOCALIC RR
0D46	ma-esign	MALAYALAM VOWEL SIGN E
0D47	ma-eesign	MALAYALAM VOWEL SIGN EE
0D48	ma-aisign	MALAYALAM VOWEL SIGN AI
0D4A	ma-osign	MALAYALAM VOWEL SIGN O
0D4B	ma-oosign	MALAYALAM VOWEL SIGN OO
0D4C	ma-ausign	MALAYALAM VOWEL SIGN AU
0D4D	viramasign	MALAYALAM SIGN VIRAMA
0D57	aulength	MALAYALAM AU LENGTH MARK
0D60	ma-rrvocal	MALAYALAM LETTER VOCALIC RR
0D61	ma-llvocal	MALAYALAM LETTER VOCALIC LL
0D62	ma-lvocalsign	MALAYALAM VOWEL SIGN VOCALIC L
0D63	ma-llvocalsign	MALAYALAM VOWEL SIGN VOCALIC LL
0D66	ma-zero	MALAYALAM DIGIT ZERO
0D67	ma-one	MALAYALAM DIGIT ONE
0D68	ma-two	MALAYALAM DIGIT TWO
0D69	ma-three	MALAYALAM DIGIT THREE
0D6A	ma-four	MALAYALAM DIGIT FOUR
0D6B	ma-five	MALAYALAM DIGIT FIVE
0D6C	ma-six	MALAYALAM DIGIT SIX
0D6D	ma-seven	MALAYALAM DIGIT SEVEN
0D6E	ma-eight	MALAYALAM DIGIT EIGHT
0D6F	ma-nine	MALAYALAM DIGIT NINE
0D70	ten	MALAYALAM NUMBER TEN
0D71	onehundred	MALAYALAM NUMBER ONE HUNDRED
0D72	onethousand	MALAYALAM NUMBER ONE THOUSAND
0D73	ma-onequarter	MALAYALAM FRACTION ONE QUARTER
0D74	ma-onehalf	MALAYALAM FRACTION ONE HALF
0D75	ma-threequarters	MALAYALAM FRACTION THREE QUARTERS
0D79	ma-date	MALAYALAM DATE MARK
0D7A	nnchillu	MALAYALAM LETTER CHILLU NN
0D7B	nchillu	MALAYALAM LETTER CHILLU N
0D7C	rrchillu	MALAYALAM LETTER CHILLU RR
0D7D	lchillu	MALAYALAM LETTER CHILLU L
0D7E	llchillu	MALAYALAM LETTER CHILLU LL
0D7F	kchillu	MALAYALAM LETTER CHILLU K
