# Oriya 0B00 - 0B7F
0B01	ry-candrabindu	ORIYA SIGN CANDRABINDU
0B02	ry-anusvara	ORIYA SIGN ANUSVARA
0B03	ry-visarga	ORIYA SIGN VISARGA
0B05	ry-a	ORIYA LETTER A
0B06	ry-aa	ORIYA LETTER AA
0B07	ry-i	ORIYA LETTER I
0B08	ry-ii	ORIYA LETTER II
0B09	ry-u	ORIYA LETTER U
0B0A	ry-uu	ORIYA LETTER UU
0B0B	ry-rvocal	ORIYA LETTER VOCALIC R
0B0C	ry-lvocal	ORIYA LETTER VOCALIC L
0B0F	ry-e	ORIYA LETTER E
0B10	ry-ai	ORIYA LETTER AI
0B13	ry-o	ORIYA LETTER O
0B14	ry-au	ORIYA LETTER AU
0B15	ry-ka	ORIYA LETTER KA
0B16	ry-kha	ORIYA LETTER KHA
0B17	ry-ga	ORIYA LETTER GA
0B18	ry-gha	ORIYA LETTER GHA
0B19	ry-nga	ORIYA LETTER NGA
0B1A	ry-ca	ORIYA LETTER CA
0B1B	ry-cha	ORIYA LETTER CHA
0B1C	ry-ja	ORIYA LETTER JA
0B1D	ry-jha	ORIYA LETTER JHA
0B1E	ry-nya	ORIYA LETTER NYA
0B1F	ry-tta	ORIYA LETTER TTA
0B20	ry-ttha	ORIYA LETTER TTHA
0B21	ry-dda	ORIYA LETTER DDA
0B22	ry-ddha	ORIYA LETTER DDHA
0B23	ry-nna	ORIYA LETTER NNA
0B24	ry-ta	ORIYA LETTER TA
0B25	ry-tha	ORIYA LETTER THA
0B26	ry-da	ORIYA LETTER DA
0B27	ry-dha	ORIYA LETTER DHA
0B28	ry-na	ORIYA LETTER NA
0B2A	ry-pa	ORIYA LETTER PA
0B2B	ry-pha	ORIYA LETTER PHA
0B2C	ry-ba	ORIYA LETTER BA
0B2D	ry-bha	ORIYA LETTER BHA
0B2E	ry-ma	ORIYA LETTER MA
0B2F	ry-ya	ORIYA LETTER YA
0B30	ry-ra	ORIYA LETTER RA
0B32	ry-la	ORIYA LETTER LA
0B33	ry-lla	ORIYA LETTER LLA
0B35	ry-va	ORIYA LETTER VA
0B36	ry-sha	ORIYA LETTER SHA
0B37	ry-ssa	ORIYA LETTER SSA
0B38	ry-sa	ORIYA LETTER SA
0B39	ry-ha	ORIYA LETTER HA
0B3C	ry-nukta	ORIYA SIGN NUKTA
0B3D	ry-avagraha	ORIYA SIGN AVAGRAHA
0B3E	ry-aasign	ORIYA VOWEL SIGN AA
0B3F	ry-isign	ORIYA VOWEL SIGN I
0B40	ry-iisign	ORIYA VOWEL SIGN II
0B41	ry-usign	ORIYA VOWEL SIGN U
0B42	ry-uusign	ORIYA VOWEL SIGN UU
0B43	ry-rvocalsign	ORIYA VOWEL SIGN VOCALIC R
0B44	ry-rrvocalsign	ORIYA VOWEL SIGN VOCALIC RR
0B47	ry-esign	ORIYA VOWEL SIGN E
0B48	ry-aisign	ORIYA VOWEL SIGN AI
0B4B	ry-osign	ORIYA VOWEL SIGN O
0B4C	ry-ausign	ORIYA VOWEL SIGN AU
0B4D	ry-virama	ORIYA SIGN VIRAMA
0B56	ry-ai length mark	ORIYA AI LENGTH MARK
0B57	ry-au length mark	ORIYA AU LENGTH MARK
0B5C	ry-rra	ORIYA LETTER RRA
0B5D	ry-rha	ORIYA LETTER RHA
0B5F	ry-yya	ORIYA LETTER YYA
0B60	ry-rrvocal	ORIYA LETTER VOCALIC RR
0B61	ry-llvocal	ORIYA LETTER VOCALIC LL
0B62	ry-lvocalsign	ORIYA VOWEL SIGN VOCALIC L
0B63	ry-llvocalsign	ORIYA VOWEL SIGN VOCALIC LL
0B66	ry-zero	ORIYA DIGIT ZERO
0B67	ry-one	ORIYA DIGIT ONE
0B68	ry-two	ORIYA DIGIT TWO
0B69	ry-three	ORIYA DIGIT THREE
0B6A	ry-four	ORIYA DIGIT FOUR
0B6B	ry-five	ORIYA DIGIT FIVE
0B6C	ry-six	ORIYA DIGIT SIX
0B6D	ry-seven	ORIYA DIGIT SEVEN
0B6E	ry-eight	ORIYA DIGIT EIGHT
0B6F	ry-nine	ORIYA DIGIT NINE
0B70	ry-isshar	ORIYA ISSHAR
0B71	ry-wa	ORIYA LETTER WA
