# Sinhala 0D80 - 0DFF
0D82	snhl-anusvaraya	SINHALA SIGN ANUSVARAYA
0D83	snhl-visargaya	SINHALA SIGN VISARGAYA
0D85	snhl-ayanna	SINHALA LETTER AYANNA
0D86	snhl-aayanna	SINHALA LETTER AAYANNA
0D87	snhl-aeyanna	SINHALA LETTER AEYANNA
0D88	snhl-aeeyanna	SINHALA LETTER AEEYANNA
0D89	snhl-iyanna	SINHALA LETTER IYANNA
0D8A	snhl-iiyanna	SINHALA LETTER IIYANNA
0D8B	snhl-uyanna	SINHALA LETTER UYANNA
0D8C	snhl-uuyanna	SINHALA LETTER UUYANNA
0D8D	snhl-iruyanna	SINHALA LETTER IRUYANNA
0D8E	snhl-iruuyanna	SINHALA LETTER IRUUYANNA
0D8F	snhl-iluyanna	SINHALA LETTER ILUYANNA
0D90	snhl-iluuyanna	SINHALA LETTER ILUUYANNA
0D91	snhl-eyanna	SINHALA LETTER EYANNA
0D92	snhl-eeyanna	SINHALA LETTER EEYANNA
0D93	snhl-aiyanna	SINHALA LETTER AIYANNA
0D94	snhl-oyanna	SINHALA LETTER OYANNA
0D95	snhl-ooyanna	SINHALA LETTER OOYANNA
0D96	snhl-auyanna	SINHALA LETTER AUYANNA
0D9A	snhl-alpapraanakayanna	SINHALA LETTER ALPAPRAANA KAYANNA
0D9B	snhl-mahaapraanakayanna	SINHALA LETTER MAHAAPRAANA KAYANNA
0D9C	snhl-alpapraanagayanna	SINHALA LETTER ALPAPRAANA GAYANNA
0D9D	snhl-mahaapraanagayanna	SINHALA LETTER MAHAAPRAANA GAYANNA
0D9E	snhl-kantajanaasikyaya	SINHALA LETTER KANTAJA NAASIKYAYA
0D9F	snhl-sanyakagayanna	SINHALA LETTER SANYAKA GAYANNA
0DA0	snhl-alpapraanacayanna	SINHALA LETTER ALPAPRAANA CAYANNA
0DA1	snhl-mahaapraanacayanna	SINHALA LETTER MAHAAPRAANA CAYANNA
0DA2	snhl-alpapraanajayanna	SINHALA LETTER ALPAPRAANA JAYANNA
0DA3	snhl-mahaapraanajayanna	SINHALA LETTER MAHAAPRAANA JAYANNA
0DA4	snhl-taalujanaasikyaya	SINHALA LETTER TAALUJA NAASIKYAYA
0DA5	snhl-taalujasanyooganaaksikyaya	SINHALA LETTER TAALUJA SANYOOGA NAAKSIKYAYA
0DA6	snhl-sanyakajayanna	SINHALA LETTER SANYAKA JAYANNA
0DA7	snhl-alpapraanattayanna	SINHALA LETTER ALPAPRAANA TTAYANNA
0DA8	snhl-mahaapraanattayanna	SINHALA LETTER MAHAAPRAANA TTAYANNA
0DA9	snhl-alpapraanaddayanna	SINHALA LETTER ALPAPRAANA DDAYANNA
0DAA	snhl-mahaapraanaddayanna	SINHALA LETTER MAHAAPRAANA DDAYANNA
0DAB	snhl-muurdhajanayanna	SINHALA LETTER MUURDHAJA NAYANNA
0DAC	snhl-sanyakaddayanna	SINHALA LETTER SANYAKA DDAYANNA
0DAD	snhl-alpapraanatayanna	SINHALA LETTER ALPAPRAANA TAYANNA
0DAE	snhl-mahaapraanatayanna	SINHALA LETTER MAHAAPRAANA TAYANNA
0DAF	snhl-alpapraanadayanna	SINHALA LETTER ALPAPRAANA DAYANNA
0DB0	snhl-mahaapraanadayanna	SINHALA LETTER MAHAAPRAANA DAYANNA
0DB1	snhl-dantajanayanna	SINHALA LETTER DANTAJA NAYANNA
0DB3	snhl-sanyakadayanna	SINHALA LETTER SANYAKA DAYANNA
0DB4	snhl-alpapraanapayanna	SINHALA LETTER ALPAPRAANA PAYANNA
0DB5	snhl-mahaapraanapayanna	SINHALA LETTER MAHAAPRAANA PAYANNA
0DB6	snhl-alpapraanabayanna	SINHALA LETTER ALPAPRAANA BAYANNA
0DB7	snhl-mahaapraanabayanna	SINHALA LETTER MAHAAPRAANA BAYANNA
0DB8	snhl-mayanna	SINHALA LETTER MAYANNA
0DB9	snhl-ambabayanna	SINHALA LETTER AMBA BAYANNA
0DBA	snhl-yayanna	SINHALA LETTER YAYANNA
0DBB	snhl-rayanna	SINHALA LETTER RAYANNA
0DBD	snhl-dantajalayanna	SINHALA LETTER DANTAJA LAYANNA
0DC0	snhl-vayanna	SINHALA LETTER VAYANNA
0DC1	snhl-taalujasayanna	SINHALA LETTER TAALUJA SAYANNA
0DC2	snhl-muurdhajasayanna	SINHALA LETTER MUURDHAJA SAYANNA
0DC3	snhl-dantajasayanna	SINHALA LETTER DANTAJA SAYANNA
0DC4	snhl-hayanna	SINHALA LETTER HAYANNA
0DC5	snhl-muurdhajalayanna	SINHALA LETTER MUURDHAJA LAYANNA
0DC6	snhl-fayanna	SINHALA LETTER FAYANNA
0DCA	snhl-allakuna	SINHALA SIGN AL-LAKUNA
0DCF	snhl-aelapilla	SINHALA VOWEL SIGN AELA-PILLA
0DD0	snhl-kettiaedapilla	SINHALA VOWEL SIGN KETTI AEDA-PILLA
0DD1	snhl-digaaedapilla	SINHALA VOWEL SIGN DIGA AEDA-PILLA
0DD2	snhl-kettiispilla	SINHALA VOWEL SIGN KETTI IS-PILLA
0DD3	snhl-digaispilla	SINHALA VOWEL SIGN DIGA IS-PILLA
0DD4	snhl-kettipaapilla	SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6	snhl-digapaapilla	SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8	snhl-gaettapilla	SINHALA VOWEL SIGN GAETTA-PILLA
0DD9	snhl-kombuva	SINHALA VOWEL SIGN KOMBUVA
0DDA	snhl-digakombuva	SINHALA VOWEL SIGN DIGA KOMBUVA
0DDB	snhl-kombudeka	SINHALA VOWEL SIGN KOMBU DEKA
