# Small Form Variants FE50 - FE6F
FE50	gnrl-comma	SMALL COMMA
FE51	gnrl-ideographiccomma	SMALL IDEOGRAPHIC COMMA
FE52	gnrl-period	SMALL FULL STOP
FE54	gnrl-semicolon	SMALL SEMICOLON
FE55	gnrl-colon	SMALL COLON
FE56	gnrl-question	SMALL QUESTION MARK
FE57	gnrl-exclam	SMALL EXCLAMATION MARK
FE58	gnrl-emdash	SMALL EM DASH
FE59	gnrl-parenthesisleft	SMALL LEFT PARENTHESIS
FE5A	gnrl-parenthesisright	SMALL RIGHT PARENTHESIS
FE5B	gnrl-braceleft	SMALL LEFT CURLY BRACKET
FE5C	gnrl-braceright	SMALL RIGHT CURLY BRACKET
FE5D	gnrl-tortoiseshellbracketleft	SMALL LEFT TORTOISE SHELL BRACKET
FE5E	gnrl-tortoiseshellbracketright	SMALL RIGHT TORTOISE SHELL BRACKET
FE5F	gnrl-numbersign	SMALL NUMBER SIGN
FE60	gnrl-ampersand	SMALL AMPERSAND
FE61	gnrl-asterisk	SMALL ASTERISK
FE62	gnrl-plus	SMALL PLUS SIGN
FE63	gnrl-hyphen	SMALL HYPHEN-MINUS
FE64	gnrl-less	SMALL LESS-THAN SIGN
FE65	gnrl-greater	SMALL GREATER-THAN SIGN
FE66	gnrl-equal	SMALL EQUALS SIGN
FE68	gnrl-backslash	SMALL REVERSE SOLIDUS
FE69	gnrl-dollar	SMALL DOLLAR SIGN
FE6A	gnrl-percent	SMALL PERCENT SIGN
FE6B	commercialat	SMALL COMMERCIAL AT
