# Tamil 0B80 - 0BFF
0B82	tml-anusvarasign	TAMIL SIGN ANUSVARA
0B83	tml-visargasign	TAMIL SIGN VISARGA
0B85	tml-a	TAMIL LETTER A
0B86	tml-aa	TAMIL LETTER AA
0B87	tml-i	TAMIL LETTER I
0B88	tml-ii	TAMIL LETTER II
0B89	tml-u	TAMIL LETTER U
0B8A	tml-uu	TAMIL LETTER UU
0B8E	tml-e	TAMIL LETTER E
0B8F	tml-ee	TAMIL LETTER EE
0B90	tml-ai	TAMIL LETTER AI
0B92	tml-o	TAMIL LETTER O
0B93	tml-oo	TAMIL LETTER OO
0B94	tml-au	TAMIL LETTER AU
0B95	tml-ka	TAMIL LETTER KA
0B99	tml-nga	TAMIL LETTER NGA
0B9A	tml-ca	TAMIL LETTER CA
0B9C	tml-ja	TAMIL LETTER JA
0B9E	tml-nya	TAMIL LETTER NYA
0B9F	tml-tta	TAMIL LETTER TTA
0BA3	tml-nna	TAMIL LETTER NNA
0BA4	tml-ta	TAMIL LETTER TA
0BA8	tml-na	TAMIL LETTER NA
0BA9	tml-nnna	TAMIL LETTER NNNA
0BAA	tml-pa	TAMIL LETTER PA
0BAE	tml-ma	TAMIL LETTER MA
0BAF	tml-ya	TAMIL LETTER YA
0BB0	tml-ra	TAMIL LETTER RA
0BB1	tml-rra	TAMIL LETTER RRA
0BB2	tml-la	TAMIL LETTER LA
0BB3	tml-lla	TAMIL LETTER LLA
0BB4	tml-llla	TAMIL LETTER LLLA
0BB5	tml-va	TAMIL LETTER VA
0BB6	tml-sha	TAMIL LETTER SHA
0BB7	tml-ssa	TAMIL LETTER SSA
0BB8	tml-sa	TAMIL LETTER SA
0BB9	tml-ha	TAMIL LETTER HA
0BBE	tml-aasign	TAMIL VOWEL SIGN AA
0BBF	tml-isign	TAMIL VOWEL SIGN I
0BC0	tml-iisign	TAMIL VOWEL SIGN II
0BC1	tml-usign	TAMIL VOWEL SIGN U
0BC2	tml-uusign	TAMIL VOWEL SIGN UU
0BC6	tml-esign	TAMIL VOWEL SIGN E
0BC7	tml-eesign	TAMIL VOWEL SIGN EE
0BC8	tml-aisign	TAMIL VOWEL SIGN AI
0BCA	tml-osign	TAMIL VOWEL SIGN O
0BCB	tml-oosign	TAMIL VOWEL SIGN OO
0BCC	tml-ausign	TAMIL VOWEL SIGN AU
0BCD	tml-viramasign	TAMIL SIGN VIRAMA
0BD0	tml-om	TAMIL OM
0BD7	tml-aulengthmark	TAMIL AU LENGTH MARK
0BE6	tml-zero	TAMIL DIGIT ZERO
0BE7	tml-one	TAMIL DIGIT ONE
0BE8	tml-two	TAMIL DIGIT TWO
0BE9	tml-three	TAMIL DIGIT THREE
0BEA	tml-four	TAMIL DIGIT FOUR
0BEB	tml-five	TAMIL DIGIT FIVE
0BEC	tml-six	TAMIL DIGIT SIX
0BED	tml-seven	TAMIL DIGIT SEVEN
0BEE	tml-eight	TAMIL DIGIT EIGHT
0BEF	tml-nine	TAMIL DIGIT NINE
0BF0	tml-ten	TAMIL NUMBER TEN
0BF1	tml-onehundred	TAMIL NUMBER ONE HUNDRED
0BF2	tml-onethousand	TAMIL NUMBER ONE THOUSAND
0BF3	tml-daysign	TAMIL DAY SIGN
0BF4	tml-monthsign	TAMIL MONTH SIGN
0BF5	tml-yearsign	TAMIL YEAR SIGN
0BF6	tml-debitsign	TAMIL DEBIT SIGN
0BF7	tml-creditsign	TAMIL CREDIT SIGN
0BF8	tml-asabovesign	TAMIL AS ABOVE SIGN
0BF9	tml-rupeesign	TAMIL RUPEE SIGN
0BFA	tml-sign	TAMIL NUMBER SIGN
