# Telugu 0C00 - 0C7F
0C01	tlg-bindusigncandra	TELUGU SIGN CANDRABINDU
0C02	tlg-anusvarasign	TELUGU SIGN ANUSVARA
0C03	tlg-visargasign	TELUGU SIGN VISARGA
0C05	tlg-a	TELUGU LETTER A
0C06	tlg-aa	TELUGU LETTER AA
0C07	tlg-i	TELUGU LETTER I
0C08	tlg-ii	TELUGU LETTER II
0C09	tlg-u	TELUGU LETTER U
0C0A	tlg-uu	TELUGU LETTER UU
0C0B	tlg-rvocal	TELUGU LETTER VOCALIC R
0C0C	tlg-lvocal	TELUGU LETTER VOCALIC L
0C0E	tlg-e	TELUGU LETTER E
0C0F	tlg-ee	TELUGU LETTER EE
0C10	tlg-ai	TELUGU LETTER AI
0C12	tlg-o	TELUGU LETTER O
0C13	tlg-oo	TELUGU LETTER OO
0C14	tlg-au	TELUGU LETTER AU
0C15	tlg-ka	TELUGU LETTER KA
0C16	tlg-kha	TELUGU LETTER KHA
0C17	tlg-ga	TELUGU LETTER GA
0C18	tlg-gha	TELUGU LETTER GHA
0C19	tlg-nga	TELUGU LETTER NGA
0C1A	tlg-ca	TELUGU LETTER CA
0C1B	tlg-cha	TELUGU LETTER CHA
0C1C	tlg-ja	TELUGU LETTER JA
0C1D	tlg-jha	TELUGU LETTER JHA
0C1E	tlg-nya	TELUGU LETTER NYA
0C1F	tlg-tta	TELUGU LETTER TTA
0C20	tlg-ttha	TELUGU LETTER TTHA
0C21	tlg-dda	TELUGU LETTER DDA
0C22	tlg-ddha	TELUGU LETTER DDHA
0C23	tlg-nna	TELUGU LETTER NNA
0C24	tlg-ta	TELUGU LETTER TA
0C25	tlg-tha	TELUGU LETTER THA
0C26	tlg-da	TELUGU LETTER DA
0C27	tlg-dha	TELUGU LETTER DHA
0C28	tlg-na	TELUGU LETTER NA
0C2A	tlg-pa	TELUGU LETTER PA
0C2B	tlg-pha	TELUGU LETTER PHA
0C2C	tlg-ba	TELUGU LETTER BA
0C2D	tlg-bha	TELUGU LETTER BHA
0C2E	tlg-ma	TELUGU LETTER MA
0C2F	tlg-ya	TELUGU LETTER YA
0C30	tlg-ra	TELUGU LETTER RA
0C31	tlg-rra	TELUGU LETTER RRA
0C32	tlg-la	TELUGU LETTER LA
0C33	tlg-lla	TELUGU LETTER LLA
0C35	tlg-va	TELUGU LETTER VA
0C36	tlg-sha	TELUGU LETTER SHA
0C37	tlg-ssa	TELUGU LETTER SSA
0C38	tlg-sa	TELUGU LETTER SA
0C39	tlg-ha	TELUGU LETTER HA
0C3D	tlg-avagrahasign	TELUGU SIGN AVAGRAHA
0C3E	tlg-aasign	TELUGU VOWEL SIGN AA
0C3F	tlg-isign	TELUGU VOWEL SIGN I
0C40	tlg-iisign	TELUGU VOWEL SIGN II
0C41	tlg-usign	TELUGU VOWEL SIGN U
0C42	tlg-uusign	TELUGU VOWEL SIGN UU
0C43	tlg-rsignvocal	TELUGU VOWEL SIGN VOCALIC R
0C44	tlg-rrsignvocal	TELUGU VOWEL SIGN VOCALIC RR
0C46	tlg-esign	TELUGU VOWEL SIGN E
0C47	tlg-eesign	TELUGU VOWEL SIGN EE
0C48	tlg-aisign	TELUGU VOWEL SIGN AI
0C4A	tlg-osign	TELUGU VOWEL SIGN O
0C4B	tlg-oosign	TELUGU VOWEL SIGN OO
0C4C	tlg-ausign	TELUGU VOWEL SIGN AU
0C4D	tlg-viramasign	TELUGU SIGN VIRAMA
0C55	tlg-lengthmark	TELUGU LENGTH MARK
0C56	tlg-ailengthmark	TELUGU AI LENGTH MARK
0C58	tlg-tsa	TELUGU LETTER TSA
0C59	tlg-dza	TELUGU LETTER DZA
0C60	tlg-rrvocal	TELUGU LETTER VOCALIC RR
0C61	tlg-llvocal	TELUGU LETTER VOCALIC LL
0C62	tlg-lsignvocal	TELUGU VOWEL SIGN VOCALIC L
0C63	tlg-llsignvocal	TELUGU VOWEL SIGN VOCALIC LL
0C66	tlg-zero	TELUGU DIGIT ZERO
0C67	tlg-one	TELUGU DIGIT ONE
0C68	tlg-two	TELUGU DIGIT TWO
0C69	tlg-three	TELUGU DIGIT THREE
0C6A	tlg-four	TELUGU DIGIT FOUR
0C6B	tlg-five	TELUGU DIGIT FIVE
0C6C	tlg-six	TELUGU DIGIT SIX
0C6D	tlg-seven	TELUGU DIGIT SEVEN
0C6E	tlg-eight	TELUGU DIGIT EIGHT
0C6F	tlg-nine	TELUGU DIGIT NINE
0C78	tlg-fractionzeroforoddpowersoffour	TELUGU FRACTION DIGIT ZERO FOR ODD POWERS OF FOUR
0C79	tlg-fractiononeforoddpowersoffour	TELUGU FRACTION DIGIT ONE FOR ODD POWERS OF FOUR
0C7A	tlg-fractiontwoforoddpowersoffour	TELUGU FRACTION DIGIT TWO FOR ODD POWERS OF FOUR
0C7B	tlg-fractionthreeforoddpowersoffour	TELUGU FRACTION DIGIT THREE FOR ODD POWERS OF FOUR
0C7C	tlg-fractiononeforevenpowersoffour	TELUGU FRACTION DIGIT ONE FOR EVEN POWERS OF FOUR
0C7D	tlg-fractiontwoforevenpowersoffour	TELUGU FRACTION DIGIT TWO FOR EVEN POWERS OF FOUR
0C7E	tlg-fractionthreeforevenpowersoffour	TELUGU FRACTION DIGIT THREE FOR EVEN POWERS OF FOUR
0C7F	tlg-tuumusign	TELUGU SIGN TUUMU
