# Thai 0E00 - 0E7F
0E01	kokai	THAI CHARACTER KO KAI
0E02	khokhai	THAI CHARACTER KHO KHAI
0E03	khokhuat	THAI CHARACTER KHO KHUAT
0E04	khokhwai	THAI CHARACTER KHO KHWAI
0E05	khokhon	THAI CHARACTER KHO KHON
0E06	khorakhang	THAI CHARACTER KHO RAKHANG
0E07	ngongu	THAI CHARACTER NGO NGU
0E08	chochan	THAI CHARACTER CHO CHAN
0E09	choching	THAI CHARACTER CHO CHING
0E0A	chochang	THAI CHARACTER CHO CHANG
0E0B	soso	THAI CHARACTER SO SO
0E0C	chochoe	THAI CHARACTER CHO CHOE
0E0D	yoying	THAI CHARACTER YO YING
0E0E	dochada	THAI CHARACTER DO CHADA
0E0F	topatak	THAI CHARACTER TO PATAK
0E10	thothan	THAI CHARACTER THO THAN
0E11	thonangmontho	THAI CHARACTER THO NANGMONTHO
0E12	thophuthao	THAI CHARACTER THO PHUTHAO
0E13	nonen	THAI CHARACTER NO NEN
0E14	dodek	THAI CHARACTER DO DEK
0E15	totao	THAI CHARACTER TO TAO
0E16	thothung	THAI CHARACTER THO THUNG
0E17	thothahan	THAI CHARACTER THO THAHAN
0E18	thothong	THAI CHARACTER THO THONG
0E19	nonu	THAI CHARACTER NO NU
0E1A	bobaimai	THAI CHARACTER BO BAIMAI
0E1B	popla	THAI CHARACTER PO PLA
0E1C	phophung	THAI CHARACTER PHO PHUNG
0E1D	fofa	THAI CHARACTER FO FA
0E1E	phophan	THAI CHARACTER PHO PHAN
0E1F	fofan	THAI CHARACTER FO FAN
0E20	phosamphao	THAI CHARACTER PHO SAMPHAO
0E21	moma	THAI CHARACTER MO MA
0E22	yoyak	THAI CHARACTER YO YAK
0E23	rorua	THAI CHARACTER RO RUA
0E24	ti-ru	THAI CHARACTER RU
0E25	loling	THAI CHARACTER LO LING
0E26	ti-lu	THAI CHARACTER LU
0E27	wowaen	THAI CHARACTER WO WAEN
0E28	sosala	THAI CHARACTER SO SALA
0E29	sorusi	THAI CHARACTER SO RUSI
0E2A	sosua	THAI CHARACTER SO SUA
0E2B	hohip	THAI CHARACTER HO HIP
0E2C	lochula	THAI CHARACTER LO CHULA
0E2D	oang	THAI CHARACTER O ANG
0E2E	honokhuk	THAI CHARACTER HO NOKHUK
0E2F	paiyannoi	THAI CHARACTER PAIYANNOI
0E30	saraa	THAI CHARACTER SARA A
0E31	maihan-akat	THAI CHARACTER MAI HAN-AKAT
0E32	saraaa	THAI CHARACTER SARA AA
0E33	saraam	THAI CHARACTER SARA AM
0E34	sarai	THAI CHARACTER SARA I
0E35	saraii	THAI CHARACTER SARA II
0E36	saraue	THAI CHARACTER SARA UE
0E37	sarauee	THAI CHARACTER SARA UEE
0E38	sarau	THAI CHARACTER SARA U
0E39	sarauu	THAI CHARACTER SARA UU
0E3A	phinthu	THAI CHARACTER PHINTHU
0E3F	baht	THAI CURRENCY SYMBOL BAHT
0E40	sarae	THAI CHARACTER SARA E
0E41	saraae	THAI CHARACTER SARA AE
0E42	sarao	THAI CHARACTER SARA O
0E43	saraaimaimuan	THAI CHARACTER SARA AI MAIMUAN
0E44	saraaimaimalai	THAI CHARACTER SARA AI MAIMALAI
0E45	lakkhangyao	THAI CHARACTER LAKKHANGYAO
0E46	maiyamok	THAI CHARACTER MAIYAMOK
0E47	maitaikhu	THAI CHARACTER MAITAIKHU
0E48	maiek	THAI CHARACTER MAI EK
0E49	maitho	THAI CHARACTER MAI THO
0E4A	maitri	THAI CHARACTER MAI TRI
0E4B	maichattawa	THAI CHARACTER MAI CHATTAWA
0E4C	thanthakhat	THAI CHARACTER THANTHAKHAT
0E4D	nikhahit	THAI CHARACTER NIKHAHIT
0E4E	yamakkan	THAI CHARACTER YAMAKKAN
0E4F	fongman	THAI CHARACTER FONGMAN
0E50	ti-zero	THAI DIGIT ZERO
0E51	ti-one	THAI DIGIT ONE
0E52	ti-two	THAI DIGIT TWO
0E53	ti-three	THAI DIGIT THREE
0E54	ti-four	THAI DIGIT FOUR
0E55	ti-five	THAI DIGIT FIVE
0E56	ti-six	THAI DIGIT SIX
0E57	ti-seven	THAI DIGIT SEVEN
0E58	ti-eight	THAI DIGIT EIGHT
0E59	ti-nine	THAI DIGIT NINE
0E5A	angkhankhu	THAI CHARACTER ANGKHANKHU
0E5B	khomut	THAI CHARACTER KHOMUT
