# Tibetan 0F00 - 0FFF
0F00	omsyllable	TIBETAN SYLLABLE OM
0F01	gteryigmgotruncatedamark	TIBETAN MARK GTER YIG MGO TRUNCATED A
0F02	gteryigmgoumrnambcadmamark	TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA
0F03	gteryigmgoumgtertshegmamark	TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA
0F04	yigmgomdunmainitialmark	TIBETAN MARK INITIAL YIG MGO MDUN MA
0F05	yigmgosgabmaclosingmark	TIBETAN MARK CLOSING YIG MGO SGAB MA
0F06	caretyigmgophurshadmamark	TIBETAN MARK CARET YIG MGO PHUR SHAD MA
0F07	yigmgotshegshadmamark	TIBETAN MARK YIG MGO TSHEG SHAD MA
0F08	sbrulshadmark	TIBETAN MARK SBRUL SHAD
0F09	bskuryigmgomark	TIBETAN MARK BSKUR YIG MGO
0F0A	bkashogyigmgomark	TIBETAN MARK BKA- SHOG YIG MGO
0F0B	intersyllabictshegmark	TIBETAN MARK INTERSYLLABIC TSHEG
0F0C	delimitertshegbstarmark	TIBETAN MARK DELIMITER TSHEG BSTAR
0F0D	shadmark	TIBETAN MARK SHAD
0F0E	nyisshadmark	TIBETAN MARK NYIS SHAD
0F0F	tshegshadmark	TIBETAN MARK TSHEG SHAD
0F10	nyistshegshadmark	TIBETAN MARK NYIS TSHEG SHAD
0F11	rinchenspungsshadmark	TIBETAN MARK RIN CHEN SPUNGS SHAD
0F12	rgyagramshadmark	TIBETAN MARK RGYA GRAM SHAD
0F13	caretdzudrtagsmelongcanmark	TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN
0F14	gtertshegmark	TIBETAN MARK GTER TSHEG
0F15	chadrtagslogotypesign	TIBETAN LOGOTYPE SIGN CHAD RTAGS
0F16	lhagrtagslogotypesign	TIBETAN LOGOTYPE SIGN LHAG RTAGS
0F17	astrologicalsgragcancharrtagssign	TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
0F18	astrologicalkhyudpasign	TIBETAN ASTROLOGICAL SIGN -KHYUD PA
0F19	astrologicalsdongtshugssign	TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
0F1A	rdeldkargcigsign	TIBETAN SIGN RDEL DKAR GCIG
0F1B	rdeldkargnyissign	TIBETAN SIGN RDEL DKAR GNYIS
0F1C	rdeldkargsumsign	TIBETAN SIGN RDEL DKAR GSUM
