# Vedic Extensions 1CD0 - 1CFF
1CD0	karshanatone	VEDIC TONE KARSHANA
1CD1	sharatone	VEDIC TONE SHARA
1CD2	prenkhatone	VEDIC TONE PRENKHA
1CD3	nihshvasasign	VEDIC SIGN NIHSHVASA
1CD4	yajurmidlinesvaritasign	VEDIC SIGN YAJURVEDIC MIDLINE SVARITA
1CD5	yajuraggravatedindependentsvaritatone	VEDIC TONE YAJURVEDIC AGGRAVATED INDEPENDENT SVARITA
1CD6	yajurindependentsvaritatone	VEDIC TONE YAJURVEDIC INDEPENDENT SVARITA
1CD7	yajurkathakaindependentsvaritatone	VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA
1CD8	belowtonecandra	VEDIC TONE CANDRA BELOW
1CD9	yajurkathakaindependentsvaritaschroedertone	VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA SCHROEDER
1CDA	svaritatonedbl	VEDIC TONE DOUBLE SVARITA
1CDB	svaritatonetpl	VEDIC TONE TRIPLE SVARITA
1CDC	kathakaanudattatone	VEDIC TONE KATHAKA ANUDATTA
1CDD	dotbelowtone	VEDIC TONE DOT BELOW
1CDE	twodotsbelowtone	VEDIC TONE TWO DOTS BELOW
1CDF	threedotsbelowtone	VEDIC TONE THREE DOTS BELOW
1CE0	rigkashmiriindependentsvaritatone	VEDIC TONE RIGVEDIC KASHMIRI INDEPENDENT SVARITA
1CE1	atharvaindependentsvaritatone	VEDIC TONE ATHARVAVEDIC INDEPENDENT SVARITA
1CE2	visargasvaritasign	VEDIC SIGN VISARGA SVARITA
1CE3	visargaudattasign	VEDIC SIGN VISARGA UDATTA
1CE4	visargaudattasignreversed	VEDIC SIGN REVERSED VISARGA UDATTA
1CE5	visargaanudattasign	VEDIC SIGN VISARGA ANUDATTA
1CE6	visargaanudattasignreversed	VEDIC SIGN REVERSED VISARGA ANUDATTA
1CE7	visargaudattawithtailsign	VEDIC SIGN VISARGA UDATTA WITH TAIL
1CE8	visargaanudattawithtailsign	VEDIC SIGN VISARGA ANUDATTA WITH TAIL
1CE9	anusvaraantargomukhasign	VEDIC SIGN ANUSVARA ANTARGOMUKHA
1CEA	anusvarabahirgomukhasign	VEDIC SIGN ANUSVARA BAHIRGOMUKHA
1CEB	anusvaravamagomukhasign	VEDIC SIGN ANUSVARA VAMAGOMUKHA
1CEC	anusvaravamagomukhawithtailsign	VEDIC SIGN ANUSVARA VAMAGOMUKHA WITH TAIL
1CED	tiryaksign	VEDIC SIGN TIRYAK
1CEE	hexiformanusvarasignlong	VEDIC SIGN HEXIFORM LONG ANUSVARA
1CEF	anusvarasignlong	VEDIC SIGN LONG ANUSVARA
1CF0	rthanganusvarasignlong	VEDIC SIGN RTHANG LONG ANUSVARA
1CF1	anusvaraubhayatomukhasign	VEDIC SIGN ANUSVARA UBHAYATO MUKHA
1CF2	ardhavisargasign	VEDIC SIGN ARDHAVISARGA
